o_cell_id,o_cell_x,o_cell_y,역사명,호선
다사46505400,946625,1954125,수색,경의중앙선
다사46753925,946875,1939375,금천구청,경부선
다사46753950,946875,1939625,금천구청,경부선
다사46753975,946875,1939875,금천구청,경부선
다사46754000,946875,1940125,금천구청,경부선
다사46754025,946875,1940375,금천구청,경부선
다사46754250,946875,1942625,구로디지털단지,2호선
다사46754275,946875,1942875,구로디지털단지,2호선
다사46754300,946875,1943125,구로디지털단지,2호선
다사46754375,946875,1943875,대림(구로구청),2호선
다사46754400,946875,1944125,대림(구로구청),2호선
다사46754425,946875,1944375,대림(구로구청),2호선
다사46754450,946875,1944625,대림(구로구청),2호선
다사46754525,946875,1945375,신도림,2호선
다사46754550,946875,1945625,신도림,2호선
다사46754575,946875,1945875,신도림,2호선
다사46754600,946875,1946125,문래,2호선
다사46754650,946875,1946625,문래,2호선
다사46754800,946875,1948125,당산,2호선
다사46755100,946875,1951125,마포구청,6호선
다사46755125,946875,1951375,마포구청,6호선
다사46755400,946875,1954125,수색,경의중앙선
다사47003950,947125,1939625,금천구청,경부선
다사47003975,947125,1939875,금천구청,경부선
다사47004225,947125,1942375,구로디지털단지,2호선
다사47004250,947125,1942625,구로디지털단지,2호선
다사47004275,947125,1942875,구로디지털단지,2호선
다사47004300,947125,1943125,구로디지털단지,2호선
다사47004325,947125,1943375,구로디지털단지,2호선
다사47004375,947125,1943875,대림(구로구청),2호선
다사47004400,947125,1944125,대림(구로구청),2호선
다사47004450,947125,1944625,신풍,7호선
다사47004475,947125,1944875,신풍,7호선
다사47004575,947125,1945875,영등포,경부선
다사47004600,947125,1946125,영등포,경부선
다사47004800,947125,1948125,당산,2호선
다사47004825,947125,1948375,당산,2호선
다사47005075,947125,1950875,망원,6호선
다사47005125,947125,1951375,마포구청,6호선
다사47254225,947375,1942375,구로디지털단지,2호선
다사47254250,947375,1942625,구로디지털단지,2호선
다사47254275,947375,1942875,구로디지털단지,2호선
다사47254350,947375,1943625,구로디지털단지,2호선
다사47254400,947375,1944125,신풍,7호선
다사47254425,947375,1944375,신풍,7호선
다사47254450,947375,1944625,신풍,7호선
다사47254475,947375,1944875,신풍,7호선
다사47254500,947375,1945125,신풍,7호선
다사47254575,947375,1945875,영등포,경부선
다사47254600,947375,1946125,영등포,경부선
다사47254625,947375,1946375,영등포,경부선
다사47254725,947375,1947375,영등포시장,5호선
다사47254750,947375,1947625,영등포시장,5호선
