d_cell_id,공원명,공원종류
다사48005400,bulgwang stream(불광천) 5km,러너코스
다사41755050,Segment,러너코스
다사51004950,[경의선숲길] 대흥역-공덕,러너코스
다사39505000,MC route A구간,러너코스
다사40005175,Magok Naru Park(M Valley 6&7 Apt.) 1km,러너코스
다사46005525,꽃향기 basic course,러너코스
다사45005000,[10k]신정교_안합_신정교_반시계,러너코스
다사61755050,송정로 <-> 군자교,러너코스
다사62255625,Rose Run 태릉입구-중화,러너코스
다사57254950,Segment,러너코스
다사48005150,성산 파틀렉 1000m,러너코스
다사59755125,Sageun-dong Short Climb,러너코스
다사56505550,Segment,러너코스
다사56505500,Segment,러너코스
다사46504650,문래자이아파트,러너코스
다사47505775,앵봉산 (의무경찰대-보덕사),러너코스
다사60756475,장암동 산160 Climb,러너코스
다사40005200,Magok Naru Park(M Valley 6&7 Apt.) 1km,러너코스
다사51504175,SNU subway to entrance uphill 650m,러너코스
다사48505925,은평뉴타운 - 옆에,러너코스
다사49755150,[돼지런] 연세대학교 대운동장 트랙,러너코스
다사51505525,북한산자락길 (부분 개통),러너코스
다사52754525,Seodalsan: The Climb and the Fall,러너코스
다사65755450,주차장기준 시계방향으로 한바퀴,러너코스
다사71005100,Goduck 6km,러너코스
다사60755400,UOS Track,러너코스
다사44254550,갈산둘레길 CCW,러너코스
다사67254625,Around Seoul Olympic Park ,러너코스
다사49505050,와우산공원 작은한바퀴,러너코스
다사40255175,마곡중앙광장(CCW#2) by JWSWdaddy,러너코스
다사49255025,와우산공원 작은한바퀴,러너코스
다사58254175,Mt. Umyeon (우면산) sidewalk (east),러너코스
다사59254875,[HUMANRACE] 뚝섬TR 10K,러너코스
다사44755050,[10k]신정교_안합_신정교_반시계,러너코스
다사60255825,우이천 월계2교 ~ 꿈의숲SK뷰아파트 103동 앞,러너코스
다사68504250,휴먼링 시계방향(꿈에그린),러너코스
다사47006125,End of the river track (2km),러너코스
다사60755000,송정로 <-> 군자교,러너코스
다사48255525,bulgwang stream(불광천) 5km,러너코스
다사47755175,사천교~홍제천 합수부 왕복(5.0km),러너코스
다사46255575,꽃향기 basic course,러너코스
다사52754950,Segment,러너코스
다사56254475,반포4동 49 6 Climb,러너코스
다사51506250,북한산 둘레길 10코스 / Bukhansan Trail #10(NEW),러너코스
다사41755025,휴레 우장산TR B코스 900m,러너코스
다사60255075,Cheonggyecheon Bicycle Path,러너코스
다사56755450,바람마당~  성북천분수광장,러너코스
