CELL_ID,mclp_green_walk_score_0_1
다사70255125,1.0
다사70255150,0.0220954515339661
다사70255175,0.0
다사69255075,1.0
다사69255100,1.0
다사69255125,0.009053977334487404
다사69255150,0.0
다사69254975,0.8045595173411069
다사69255000,1.0
다사69255025,1.0
다사69255050,1.0
다사69504300,0.0
다사69504325,0.0
다사69504350,0.4571467193942033
다사69504375,0.43291910921489224
다사69255175,0.0
다사69255200,0.0
다사69255225,0.0
다사69255250,0.0
다사69254425,0.5099162410799272
다사69254450,0.16352940875709596
다사69254475,0.0
다사69254750,0.0
다사69254325,0.0
다사69254350,0.10278494095853218
다사69254375,0.2583963209555296
다사69254400,0.5097050804113589
다사69254875,0.8953467235210094
다사69254900,0.9674096500899612
다사69254925,0.5267984639968615
다사69254950,0.4735829008221788
다사69254775,0.0
다사69254800,0.0
다사69254825,0.0
다사69254850,0.0
다사69505225,0.0
다사69505250,0.0
다사69754325,0.0
다사69754350,0.00018967679313614612
다사69505125,1.0
다사69505150,0.1484134171951186
다사69505175,0.0
다사69505200,0.0
다사69754475,0.0
다사69754875,0.0
다사69754900,0.45988236575308955
다사69754925,0.001124790542102902
다사69754375,0.0
다사69754400,0.0
다사69754425,0.0
다사69754450,0.0
다사69504825,0.0
다사69504850,0.0
다사69504875,0.2545000007582468
다사69504900,0.27440817813422697
다사69504400,0.07271546355900897
다사69504425,0.006347711164462592
다사69504450,0.0
다사69504475,0.0
다사69505025,1.0
다사69505050,0.8842443527409892
다사69505075,1.0
다사69505100,0.8253746133189621
다사69504925,0.15661768902113118
다사69504950,1.0
다사69504975,0.853566907577434
다사69505000,1.0
다사68754925,0.9368345839858748
다사68754950,1.0
다사68754975,1.0
다사68755000,0.09742575603882121
다사68754825,0.005874359264917615
다사68754850,0.8418878079275589
다사68754875,0.6681503267703632
다사68754900,1.0
다사68755125,0.21376286156802687
다사68755150,0.0
다사68755175,0.00604129522477797
다사68755200,0.0
다사68755025,0.006233225310688224
다사68755050,0.8996097231053795
다사68755075,0.4888621839942531
다사68755100,0.8953463200256085
다사68754350,0.0
다사68754375,0.3491680531778714
다사68754400,0.0028274874231426824
다사68754425,0.27160510336822186
다사68754250,0.0
다사68754275,0.0
다사68754300,0.0
다사68754325,0.0
다사68754725,0.7887984596499652
다사68754750,0.32223569683065656
다사68754775,0.029492388142637833
다사68754800,0.0
다사68754450,0.4892220535041769
다사68754475,0.11870773688774931
다사68754500,0.0
다사68754700,0.16572651795045149
다사69004975,1.0
다사69005000,1.0
다사69005025,0.5335315891204008
다사69005050,1.0
다사69004875,0.17581836074397472
다사69004900,0.5000991358185015
다사69004925,0.0
다사69004950,0.005415465772116845
다사69005175,0.0
다사69005200,0.0
다사69005225,0.0
다사69254300,0.0
다사69005075,0.5924749458819819
다사69005100,1.0
다사69005125,0.3781699652415724
다사69005150,0.0
다사69004375,0.7185263240045144
다사69004400,0.1404023865429826
다사69004425,0.0
다사69004450,0.44841274594182556
다사69004275,0.0
다사69004300,0.0
다사69004325,0.0
다사69004350,0.005396476950702601
다사69004775,0.0
다사69004800,0.05853853491413481
다사69004825,0.019998303007978786
다사69004850,0.37052090851848946
다사69004475,0.008774095935661213
다사69004500,0.0016587438704036607
다사69004725,0.0
다사69004750,0.0
다사68255125,0.03774296923388064
다사68255150,0.0
다사68255175,0.0
다사68255200,0.0
다사68255025,0.00669460681935954
다사68255050,0.6285025636673729
다사68255075,0.3789751955982302
다사68255100,0.37287500835595666
다사68504275,0.0
다사68504300,0.0
다사68504325,0.0
다사68504350,0.2328221992857904
다사68504175,0.0
다사68504200,0.0
다사68504225,0.0
다사68504250,0.0
다사68254725,0.0
다사68254750,1.0
다사68254775,0.8713274779717215
다사68254800,0.12101517534671852
다사68254625,0.15588356386714194
다사68254650,0.6568785688334108
다사68254675,0.0
다사68254700,0.0
다사68254925,0.5996989700660645
다사68254950,1.0
다사68254975,0.17964662437388743
다사68255000,0.13765486358386772
다사68254825,0.7435851494879403
다사68254850,0.0
다사68254875,0.07087367557671498
다사68254900,0.6887371377097864
다사68504975,0.1991526149492526
다사68505000,0.535409549805226
다사68505025,0.3973397435498074
다사68505050,1.0
다사68504875,0.2411542311850368
다사68504900,0.45392504506268955
다사68504925,0.0
다사68504950,0.37466290809202396
다사68505175,0.0
다사68505200,0.0
다사68754200,0.0
다사68754225,0.0
다사68505075,0.9705281371148039
다사68505100,0.9798179922215375
다사68505125,0.07118582487336456
다사68505150,0.0
다사68504475,0.0
다사68504500,0.0
다사68504625,0.03517599016790564
다사68504650,0.46663052254642734
다사68504375,0.7830187475113638
다사68504400,0.41518519924654756
다사68504425,0.41344998853362724
다사68504450,0.231899663913509
다사68504775,0.4820936665984446
다사68504800,0.8846658577093961
다사68504825,1.0
다사68504850,0.7481834570008903
다사68504675,0.2154845707073563
다사68504700,0.3434141289281145
다사68504725,0.1534979554335147
다사68504750,1.0
다사68004600,0.0017192821851404667
다사68004625,0.0
다사68004650,0.7025794863982315
다사68004675,0.23350202204358628
다사68004500,0.647819315791211
다사68004525,0.8738980951681903
다사68004550,0.024126564534962654
다사68004575,0.01042618174336798
다사68004800,0.24009328548256884
다사68004825,0.997407002956375
다사68004850,0.5210985717519357
다사68004875,0.4043413497567979
다사68004700,0.0
다사68004725,0.0
다사68004750,0.49257051607028784
다사68004775,0.020241409546046564
다사68004200,0.0
다사68004225,0.0
다사68004250,0.0
다사68004275,0.0
다사67755175,0.0069760594055741885
다사67755200,0.0
다사68004150,0.0
다사68004175,0.0
다사68004400,0.8364866894949016
다사68004425,0.662750888726542
다사68004450,0.5529864454619327
다사68004475,0.7510968660453388
다사68004300,0.0
다사68004325,0.0
다사68004350,0.0
다사68004375,0.15665688545820367
다사68254325,0.0
다사68254350,0.07223924131230623
다사68254375,0.5196377865852079
다사68254400,0.05508838929282051
다사68254225,0.0
다사68254250,0.0
다사68254275,0.0
다사68254300,0.0
다사68254525,0.009397824207185393
다사68254550,0.011792890893155274
다사68254575,0.15831607078947968
다사68254600,0.30709048759587215
다사68254425,0.08402496096943016
다사68254450,0.6535913472190535
다사68254475,0.22114419611300684
다사68254500,0.00011842192630539885
다사68005000,0.06535018161119582
다사68005025,0.0
다사68005050,0.8453780184646359
다사68005075,0.5457278572943607
다사68004900,0.5590449162593797
다사68004925,0.0
다사68004950,0.7564487531561944
다사68004975,0.010263449668534385
다사68005200,0.0
다사68254150,0.0
다사68254175,0.0
다사68254200,0.0
다사68005100,0.006929679004573957
다사68005125,0.03157728935352771
다사68005150,0.01628483669172663
다사68005175,0.0
다사67505150,0.8398069324148854
다사67505175,0.06526626994117984
다사67505200,0.0
다사67754150,0.0
다사67505050,0.31461089737795916
다사67505075,0.5827027822459859
다사67505100,0.4332132857904635
다사67505125,0.34404183137386307
다사67754275,0.0
다사67754300,0.0
다사67754325,0.0
다사67754350,0.2225005056872072
다사67754175,0.0
다사67754200,0.0
다사67754225,0.0
다사67754250,0.07826030711550672
다사67504750,0.0006553674112962541
다사67504775,0.7532980663882335
다사67504800,0.7089743777209347
다사67504825,0.695488915910964
다사67504650,0.7885662014996335
다사67504675,1.0
다사67504700,0.6840848898299977
다사67504725,0.25027359305352
다사67504950,0.1629675450799992
다사67504975,0.7360801866131044
다사67505000,0.0040486032246764845
다사67505025,0.0
다사67504850,0.4067389305883198
다사67504875,0.0
다사67504900,0.0
다사67504925,0.12011777044629
다사67754875,0.4278314649065497
다사67754900,0.3271897823052386
다사67754925,0.0
다사67754950,0.3102527439536199
다사67754775,0.8780524186836959
다사67754800,0.2567355511070885
다사67754825,0.44038612594892895
다사67754850,0.677864525352112
다사67755075,0.5791984949136278
다사67755100,0.07925757832805139
다사67755125,0.0
다사67755150,0.03518058851667295
다사67754975,0.28527828355011403
다사67755000,0.049966394171102206
다사67755025,0.0
다사67755050,0.4511322254366422
다사67754475,0.7960235914553025
다사67754500,1.0
다사67754525,0.7228990403996152
다사67754550,0.4211063578240565
다사67754375,0.9085607019027921
다사67754400,0.6346188442324812
다사67754425,0.4341552715619475
다사67754450,1.0
다사67754675,1.0
다사67754700,0.0
다사67754725,0.43781649873660383
다사67754750,0.6977586719206672
다사67754575,0.0
다사67754600,0.0
다사67754625,0.0
다사67754650,0.07074550679300669
다사67254675,0.007464183073905821
다사67254700,1.0
다사67254725,0.7045858329114869
다사67254750,0.6546664279198177
다사67254575,0.9701823577518438
다사67254600,0.6247811227720569
다사67254625,0.4608113651358247
다사67254650,0.3631444549785055
다사67254875,0.0007711835942145582
다사67254900,0.0
다사67254925,0.030595492457275573
다사67254950,0.4330666488465173
다사67254775,0.8100506839289962
다사67254800,0.08010006545267467
다사67254825,0.0
다사67254850,0.37479555428144684
다사67254275,0.5528336242451705
다사67254300,0.5009728705646169
다사67254325,0.8711043657014923
다사67254350,0.3538423450761118
다사67254175,0.14313696640386867
다사67254200,0.21159549286796103
다사67254225,0.6379557197300156
다사67254250,0.1505723797988795
다사67254475,0.09606158693091564
다사67254500,0.5326850171633647
다사67254525,1.0
다사67254550,0.807965707229118
다사67254375,1.0
다사67254400,1.0
다사67254425,0.6516802913386506
다사67254450,0.7535361170186659
다사67504350,0.6038027886008106
다사67504375,1.0
다사67504400,0.9464626774714376
다사67504425,0.9850381469766797
다사67504250,0.12786057362655628
다사67504275,0.0
다사67504300,0.6147228146103901
다사67504325,0.2064757234019224
다사67504550,0.9003430297761846
다사67504575,0.005937518800979356
