CELL_ID,공원겹침비율
다사69254350,0.0
다사69254375,0.0
다사69254400,0.0
다사69254875,0.531
다사69254900,0.353
다사69254925,0.22
다사69254950,0.0
다사69254775,0.434
다사69254800,0.612
다사69254825,0.58
다사69254850,0.588
다사69505225,0.675
다사69505250,0.001
다사69754325,0.0
다사69754350,0.0
다사69505125,0.016
다사69505150,0.005
다사69505175,0.0
다사69505200,0.02
다사69754475,0.244
다사69754875,0.036
다사69754900,0.505
다사69754925,0.837
다사69754375,0.0
다사69754400,0.0
다사69754425,0.0
다사69754450,0.691
다사69504825,0.0
다사69504850,0.265
다사69504875,0.787
다사69504900,0.898
다사69504400,0.0
다사69504425,0.209
다사69504450,0.998
다사69504475,0.344
다사69505025,0.134
다사69505050,0.109
다사69505075,0.121
다사69505100,0.046
다사69504925,0.891
다사69504950,0.018
다사69504975,0.096
다사69505000,0.133
다사68754925,0.0
다사68754950,0.0
다사68754975,0.0
다사68755000,0.152
다사68754825,0.0
다사68754850,0.0
다사68754875,0.0
다사68754900,0.0
다사68755125,0.0
다사68755150,0.0
다사68755175,0.0
다사68755200,0.0
다사68755025,0.15
다사68755050,0.048
다사68755075,0.016
다사68755100,0.0
다사68754350,0.0
다사68754375,0.0
다사68754400,0.0
다사68754425,0.0
다사68754250,0.0
다사68754275,0.0
다사68754300,0.0
다사68754325,0.0
다사68754725,0.0
다사68754750,0.0
다사68754775,0.0
다사68754800,0.0
다사68754450,0.07
다사68754475,0.002
다사68754500,0.0
다사68754700,0.0
다사69004975,0.0
다사69005000,0.0
다사69005025,0.239
다사69005050,0.153
다사69004875,0.0
다사69004900,0.0
다사69004925,0.0
다사69004950,0.0
다사69005175,0.0
다사69005200,0.104
다사69005225,0.0
다사69254300,0.0
다사69005075,0.296
다사69005100,0.018
다사69005125,0.0
다사69005150,0.0
다사69004375,0.0
다사69004400,0.0
다사69004425,0.0
다사69004450,0.0
다사69004275,0.0
다사69004300,0.0
다사69004325,0.0
다사69004350,0.0
다사69004775,0.635
다사69004800,0.289
다사69004825,0.006
다사69004850,0.0
다사69004475,0.0
다사69004500,0.0
다사69004725,0.005
다사69004750,0.539
다사68255125,0.0
다사68255150,0.0
다사68255175,0.0
다사68255200,0.0
다사68255025,0.0
다사68255050,0.0
다사68255075,0.0
다사68255100,0.0
다사68504275,0.243
다사68504300,0.557
다사68504325,0.051
다사68504350,0.0
다사68504175,0.0
다사68504200,0.0
다사68504225,0.0
다사68504250,0.0
다사68254725,0.0
다사68254750,0.0
다사68254775,0.0
다사68254800,0.0
다사68254625,0.0
다사68254650,0.0
다사68254675,0.0
다사68254700,0.0
다사68254925,0.0
다사68254950,0.0
다사68254975,0.0
다사68255000,0.0
다사68254825,0.0
다사68254850,0.0
다사68254875,0.0
다사68254900,0.0
다사68504975,0.0
다사68505000,0.0
다사68505025,0.029
다사68505050,0.025
다사68504875,0.0
다사68504900,0.0
다사68504925,0.0
다사68504950,0.0
다사68505175,0.0
다사68505200,0.0
다사68754200,0.0
다사68754225,0.0
다사68505075,0.0
다사68505100,0.0
다사68505125,0.0
다사68505150,0.0
다사68504475,0.116
다사68504500,0.0
다사68504625,0.0
다사68504650,0.0
다사68504375,0.0
다사68504400,0.0
다사68504425,0.028
다사68504450,0.158
다사68504775,0.0
다사68504800,0.0
다사68504825,0.0
다사68504850,0.0
다사68504675,0.0
다사68504700,0.0
다사68504725,0.0
다사68504750,0.0
다사68004600,0.0
다사68004625,0.0
다사68004650,0.0
다사68004675,0.0
다사68004500,0.0
다사68004525,0.0
다사68004550,0.0
다사68004575,0.0
다사68004800,0.0
다사68004825,0.0
다사68004850,0.0
다사68004875,0.0
다사68004700,0.0
다사68004725,0.0
다사68004750,0.0
다사68004775,0.0
다사68004200,0.0
다사68004225,0.0
다사68004250,0.169
다사68004275,0.485
다사67755175,0.0
다사67755200,0.0
다사68004150,0.0
다사68004175,0.0
다사68004400,0.182
다사68004425,0.109
다사68004450,0.175
다사68004475,0.0
다사68004300,0.973
다사68004325,1.0
다사68004350,0.951
다사68004375,0.908
다사68254325,0.357
다사68254350,0.137
다사68254375,0.0
다사68254400,0.166
다사68254225,0.0
다사68254250,0.0
다사68254275,0.479
다사68254300,0.84
다사68254525,0.0
다사68254550,0.0
다사68254575,0.0
다사68254600,0.0
다사68254425,0.116
다사68254450,0.086
다사68254475,0.272
다사68254500,0.025
다사68005000,0.0
다사68005025,0.0
다사68005050,0.0
다사68005075,0.0
다사68004900,0.0
다사68004925,0.0
다사68004950,0.0
다사68004975,0.0
다사68005200,0.0
다사68254150,0.0
다사68254175,0.0
다사68254200,0.0
다사68005100,0.0
다사68005125,0.0
다사68005150,0.0
다사68005175,0.0
다사67505150,0.0
다사67505175,0.071
다사67505200,0.0
다사67754150,0.0
다사67505050,0.0
다사67505075,0.0
다사67505100,0.0
다사67505125,0.0
다사67754275,0.714
다사67754300,0.623
다사67754325,0.708
다사67754350,0.467
다사67754175,0.0
다사67754200,0.0
다사67754225,0.0
다사67754250,0.425
다사67504750,0.0
다사67504775,0.0
다사67504800,0.0
다사67504825,0.0
다사67504650,0.002
다사67504675,0.228
다사67504700,0.001
