CELL_ID,4월_유출,4월_유입,4월_총이동,9월_유출,9월_유입,9월_총이동,일평균_유출,일평균_유입,일평균_총이동
다사51755025,12078.85,11985.75,24064.6,10111.56,9945.91,20057.47,11095.205,10965.83,22061.035
다사66504250,10369.1,10013.5,20382.6,11856.31,11687.67,23543.97,11112.705,10850.585,21963.285
다사49254700,11398.8,11410,22808.8,10501.12,10546.2,21047.32,10949.96,10978.1,21928.059999999998
다사65754625,12483.1,12438.3,24921.4,9461.26,9436.23,18897.49,10972.18,10937.265,21909.445
다사60754550,11702.25,12178.25,23880.5,9778.18,10057.67,19835.86,10740.215,11117.96,21858.18
다사59004475,11311.3,11363.45,22674.75,10327.42,10400.02,20727.44,10819.36,10881.735,21701.095
다사47004275,11073.3,12002.55,23075.85,9749.01,10472.09,20221.11,10411.154999999999,11237.32,21648.48
다사47255200,11062.1,10812.9,21875,10811.3,10483.05,21294.36,10936.7,10647.974999999999,21584.68
다사59755350,10453.1,10906,21359.1,10557.84,11248.22,21806.06,10505.470000000001,11077.11,21582.58
다사49255700,7641.2,7472.5,15113.7,14111.47,13832.22,27943.7,10876.335,10652.36,21528.7
다사51504250,11070.15,11723.25,22793.4,9752.66,10407.99,20160.66,10411.404999999999,11065.619999999999,21477.03
다사59005150,11606,11783.45,23389.45,9634.77,9844.51,19479.29,10620.385,10813.98,21434.370000000003
다사60504500,9840.6,9958.9,19799.5,11396,11481.97,22877.97,10618.3,10720.435,21338.735
다사60254400,9569.35,9007.6,18576.95,12369.22,11644.4,24013.62,10969.285,10326,21295.285
다사53755175,10627.4,10550.4,21177.8,10707.94,10569.49,21277.43,10667.67,10559.945,21227.614999999998
다사61004450,9411.15,9901.5,19312.65,11330.88,11773.82,23104.7,10371.015,10837.66,21208.675000000003
다사65754575,11940.95,11834.2,23775.15,9294.29,9191.19,18485.48,10617.62,10512.695,21130.315000000002
다사52504200,11444.3,11640.65,23084.95,9442.77,9665.73,19108.51,10443.535,10653.189999999999,21096.73
다사47254700,9057.65,9059.05,18116.7,12135.87,11825.4,23961.26,10596.76,10442.224999999999,21038.98
다사44754775,8337,7953.4,16290.4,13082.35,12642.25,25724.6,10709.675,10297.825,21007.5
다사55504850,10494.75,10617.95,21112.7,10421.19,10433.64,20854.83,10457.970000000001,10525.795,20983.765
다사55005150,10886.75,11317.95,22204.7,9485.15,10040.26,19525.41,10185.95,10679.105,20865.055
다사58505625,11208.05,10754.45,21962.5,9919.95,9475.01,19394.96,10564,10114.73,20678.73
다사66254300,11355.4,11498.55,22853.95,9169.08,9293.78,18462.87,10262.24,10396.165,20658.41
다사53755125,10965.85,11128.6,22094.45,9515.38,9669.54,19184.93,10240.615,10399.07,20639.690000000002
다사64504325,11680.55,10658.2,22338.75,9852.74,9026.47,18879.21,10766.645,9842.335,20608.98
다사56754375,11515.7,11511.5,23027.2,9032.94,9147.63,18180.58,10274.32,10329.564999999999,20603.89
다사56754450,11064.2,10460.45,21524.65,10064.23,9492.66,19556.89,10564.215,9976.555,20540.77
다사58005850,11336.5,11213.65,22550.15,9273.45,9140.06,18413.51,10304.975,10176.855,20481.83
다사66754575,10179.75,10383.8,20563.55,10125.78,10180.33,20306.1,10152.765,10282.064999999999,20434.824999999997
다사58004450,12493.6,12593.7,25087.3,7774.02,7841.79,15615.81,10133.810000000001,10217.745,20351.555
다사58254425,9881.55,10352.65,20234.2,9944.3,10428.55,20372.85,9912.925,10390.599999999999,20303.525
다사61004400,10374.7,10309.25,20683.95,9903.26,9958.35,19861.6,10138.98,10133.8,20272.775
다사38255175,9860.9,10262,20122.9,9907.4,10258.56,20165.96,9884.15,10260.279999999999,20144.43
다사54255200,11046.35,11438,22484.35,8716.41,9012.39,17728.8,9881.380000000001,10225.195,20106.574999999997
다사47755075,10578.75,10883.95,21462.7,8965.38,9161.73,18127.11,9772.064999999999,10022.84,19794.905
다사60004450,10409,10867.85,21276.85,8842.57,9444.25,18286.82,9625.785,10156.05,19781.835
다사55755225,10344.25,10633.7,20977.95,8946.29,9277.71,18224,9645.27,9955.705,19600.975
다사68004875,13186.6,13171.2,26357.8,6360.71,6461.09,12821.8,9773.655,9816.145,19589.8
다사60754925,9973.6,10144.05,20117.65,9411.92,9516.67,18928.59,9692.76,9830.36,19523.120000000003
다사60505475,10351.25,10970.75,21322,8559.72,9156.37,17716.09,9455.485,10063.560000000001,19519.045
다사69505025,10476.55,10063.55,20540.1,9432.46,9045.61,18478.07,9954.505,9554.58,19509.085
다사44754725,10214.75,10457.3,20672.05,9055.42,9288.17,18343.6,9635.085,9872.735,19507.824999999997
다사63004875,10920.35,10550.75,21471.1,8836.65,8630.54,17467.19,9878.5,9590.645,19469.144999999997
다사63255300,10171.7,9843.75,20015.45,9494.44,9228.49,18722.92,9833.07,9536.119999999999,19369.184999999998
다사51004975,9807.7,11265.8,21073.5,8655.38,8958.87,17614.26,9231.54,10112.335,19343.879999999997
다사50754100,2650.2,19058.9,21709.1,2368.46,14527.33,16895.79,2509.33,16793.115,19302.445
다사63504525,10892.35,10246.95,21139.3,9022.21,8400.99,17423.2,9957.279999999999,9323.970000000001,19281.25
다사62255000,10706.5,10222.8,20929.3,8885.11,8425.9,17311.01,9795.805,9324.349999999999,19120.155
다사62254875,9984.45,9908.5,19892.95,8975.41,9232.83,18208.23,9479.93,9570.665,19050.59
다사48005025,8410.15,8592.85,17003,10426.94,10642.72,21069.67,9418.545,9617.785,19036.335
다사61004525,11302.55,11224.15,22526.7,7791.35,7716.33,15507.67,9546.95,9470.24,19017.185
다사59254475,9998.45,9953.3,19951.75,9013.61,9062.57,18076.18,9506.03,9507.935,19013.965
다사55005225,9478,9623.95,19101.95,9303.8,9501.18,18804.98,9390.9,9562.565,18953.465
다사53255100,9767.1,9765.35,19532.45,9147.82,9148.12,18295.94,9457.46,9456.735,18914.195
다사48504700,11751.6,11521.3,23272.9,7330.48,7201.96,14532.44,9541.04,9361.63,18902.670000000002
다사51504950,9777.25,10283,20060.25,8588.22,8912.1,17500.32,9182.735,9597.55,18780.285
다사42254775,15510.95,15380.4,30891.35,3365.67,3207.38,6573.05,9438.310000000001,9293.89,18732.2
다사60754525,10069.5,10036.25,20105.75,8682.89,8645.59,17328.48,9376.195,9340.92,18717.114999999998
다사41505100,9401.7,9574.25,18975.95,9064.52,9258.17,18322.69,9233.11,9416.21,18649.32
다사58755525,10000.2,9649.15,19649.35,8968.01,8620.39,17588.4,9484.105,9134.77,18618.875
다사49254725,10199.7,10218.25,20417.95,8343.99,8421.53,16765.53,9271.845000000001,9319.89,18591.739999999998
다사55755250,9923.2,10096.1,20019.3,8376.49,8535.06,16911.55,9149.845000000001,9315.58,18465.425
다사58254375,10029.25,10207.4,20236.65,8242.43,8330.83,16573.27,9135.84,9269.115,18404.96
다사62004900,9537.85,10007.2,19545.05,8402.36,8800.79,17203.14,8970.105,9403.995,18374.095
다사58255425,10886.05,9906.75,20792.8,8305.42,7617.56,15922.97,9595.735,8762.155,18357.885
다사54505175,9647.05,9854.25,19501.3,8454.41,8707.96,17162.37,9050.73,9281.105,18331.835
다사58254125,13452.25,12933.2,26385.45,5233.86,5026.65,10260.51,9343.055,8979.925,18322.98
다사49755025,13184.85,13271.65,26456.5,5098.41,5059.89,10158.31,9141.630000000001,9165.77,18307.405
다사49505700,9293.9,9538.55,18832.45,8764.94,9001.56,17766.5,9029.42,9270.055,18299.475
다사52754775,5716.9,6306.3,12023.2,11755.2,12814.55,24569.75,8736.05,9560.425,18296.475
다사57255525,10566.15,10130.4,20696.55,8004.46,7701.6,15706.06,9285.305,8916,18201.305
다사62505075,9322.95,9958.55,19281.5,8284.57,8775.29,17059.86,8803.76,9366.92,18170.68
다사57754475,8989.05,9612.05,18601.1,8534.33,9120.35,17654.68,8761.689999999999,9366.2,18127.89
다사58004400,9675.4,9912.35,19587.75,8236.29,8430.31,16666.6,8955.845000000001,9171.33,18127.175
다사60005350,9019.85,10459.4,19479.25,7857.78,8895.75,16753.53,8438.815,9677.575,18116.39
다사70505075,9691.85,9736.65,19428.5,8468.32,8265.82,16734.14,9080.085,9001.235,18081.32
다사50505150,10415.65,8824.2,19239.85,8998.44,7756.44,16754.88,9707.045,8290.32,17997.364999999998
다사54005225,8624.7,8875.3,17500,9074.08,9396.2,18470.28,8849.39,9135.75,17985.14
다사64004900,9073.05,9259.25,18332.3,8812.68,8815.28,17627.96,8942.865,9037.265,17980.129999999997
다사54505275,9148.65,9726.15,18874.8,8085.87,8744.81,16830.68,8617.26,9235.48,17852.739999999998
다사67254350,9436.35,9066.05,18502.4,8753.96,8447.12,17201.08,9095.154999999999,8756.585,17851.74
다사57004950,9446.5,9302.65,18749.15,8559.93,8371.96,16931.89,9003.215,8837.305,17840.52
다사49005100,8950.2,9861.25,18811.45,7942.12,8908.34,16850.46,8446.16,9384.795,17830.955
다사53755225,9813.65,9774.45,19588.1,7918.44,8038.26,15956.7,8866.045,8906.355,17772.4
다사57505600,8923.95,8929.2,17853.15,8789.27,8806.39,17595.65,8856.61,8867.795,17724.4
다사60256150,8897.7,8910.3,17808,8732.52,8861.08,17593.6,8815.11,8885.689999999999,17700.8
