역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m,cluster,cluster_label
둔촌오륜,9호선(연장),1,2,1593122.5,0,0,8102,37.519683,127.137989,1.0,177.375,755.875,13.61996334686874,58.040816320306746,8.0,4.92,0.0,425.2,425.2,2,도심공원형
한성백제,9호선(연장),1,2,1520399.8,0,0,6056,37.516404,127.116503,5.0,6567.625,67405.79166666667,10523.979760963784,108826.16464481196,4.0,1.8428,1.6,330.554,4.13,2,도심공원형
송파나루,9호선(연장),1,6,1864682.4,0,0,12044,37.510372,127.112216,2.0,2310.575,34374.275,2009.4434818051736,31581.003333585668,6.5,3.786,0.0,614.62,463.43,2,도심공원형
석촌고분,9호선(연장),1,4,973273.3,0,0,14104,37.502558,127.097033,2.0,2437.2,42924.4,2098.527296617437,37491.43938311237,3.5,1.751,-0.05,471.835,428.43,2,도심공원형
봉은사,9호선(연장),1,2,947914.1,0,0,44614,37.514219,127.060245,6.0,1274.25,2837.333333333333,2134.488888147534,4386.520844798179,4.0,2.687,2.1333333333333333,447.66333333333336,52.38,2,도심공원형
삼성중앙,9호선(연장),1,3,627958.8,0,0,15063,37.513011,127.053282,7.0,2609.4166666666665,14219.75,2099.523330016311,10719.69605016531,3.2857142857142856,0.5731428571428572,2.671428571428572,453.6542857142857,229.31,2,도심공원형
사평,9호선,1,2,678585.4,0,0,7898,37.504206,127.015259,2.0,171.03333333333333,570.7333333333333,164.27559647972356,606.6487448233302,5.5,1.0875,3.2,515.66,264.67,2,도심공원형
노들,9호선,1,4,472730.9,0,0,9347,37.512887,126.953222,5.0,15643.958333333334,63474.875,14763.943147120195,59531.3152927284,3.0,2.6888,0.0399999999999998,385.576,135.54,2,도심공원형
염창,9호선,1,4,1916211.0,0,0,33524,37.546936,126.874916,5.0,12591.166666666666,68835.66666666667,8549.44500934395,48817.343324423135,3.2,2.8080000000000003,1.64,489.968,423.31,2,도심공원형
증미,9호선,1,2,135848.6,0,0,14616,37.557402,126.861939,5.0,24085.583333333336,98398.16666666666,24322.56889193067,99316.5673957519,2.4,3.4802,1.12,619.394,597.53,2,도심공원형
가양,9호선,1,4,87901.5,0,0,42222,37.561391,126.854456,4.0,16864.083333333332,45755.66666666666,16680.065593010237,44992.51536233281,2.5,4.14275,0.3,672.44,637.13,2,도심공원형
양천향교,9호선,1,5,704361.5,0,0,20223,37.568381,126.841333,5.0,2374.583333333333,25719.666666666664,2120.943391888148,22931.34797991992,2.6,3.4921999999999995,1.7,637.656,499.27,2,도심공원형
복정,8호선,1,2,722878.6,0,0,17375,37.471052,127.126732,3.0,4965.0,30889.0,5731.888564059727,33558.9227092824,1.6666666666666667,1.3166666666666669,-0.3333333333333333,493.2366666666667,360.86,2,도심공원형
장지,8호선,1,4,1385034.0,0,0,31896,37.478703,127.126191,4.0,8333.0,50719.0,7207.661843580347,45505.13278706827,2.0,1.24575,-0.325,570.4075,275.29,2,도심공원형
문정,8호선,1,4,698518.2,0,0,41985,37.485855,127.1225,2.0,240.0,6035.5,273.65790622877483,6954.875705917325,3.0,2.906,-0.05,366.88,351.15,2,도심공원형
몽촌토성(평화의문),8호선,1,3,1822180.8,0,0,14537,37.517409,127.112359,5.0,8343.991666666667,99209.35833333334,5808.94433582861,68507.46218610059,4.6,2.3952,0.4800000000000001,476.254,94.04,2,도심공원형
강동구청,8호선,1,4,1564231.8,0,0,20423,37.530341,127.120508,5.0,11237.958333333334,106380.125,10393.51788917794,100277.64893997218,3.6,2.0168,1.14,630.104,515.14,2,도심공원형
