CELL_ID,위도,경도,생활이동인구,스트라바이용자수,거주인구,녹시율,공원겹침비율
다사55504850,37.535875850047745,126.9977252603055,20983.765,0.0,409.1,0.3189845092327624,0.0
다사62004875,37.53841918884228,127.07128294961989,22290.38,0.0,1402.9,0.1965341809407124,0.0
다사59004475,37.50223766274066,127.03754870915404,21701.095,0.0,941.8,0.3934822759003853,0.0
다사46754725,37.524146689140196,126.89878019392721,13731.4,0.0,1762.6,0.3972036837742152,0.0
다사58504450,37.49996204126694,127.03190605180242,23275.945,26.5,908.6,0.4789203303072131,0.001
다사49254675,37.51978073202008,126.92710602343237,25568.13,0.0,245.1,1.0,0.0
다사53505225,37.56957692403429,126.97485126370326,22362.22,0.0,359.4,0.0858411018473292,0.0
다사54255150,37.562854498612005,126.98339060318838,22333.285,0.0,168.0,0.2484983677585143,0.0
다사55755375,37.583207319523225,127.0002389178667,23469.63,0.0,879.2,0.0,0.0
다사58254425,37.497697459479454,127.02909192755743,20303.525,0.0,930.1,0.4222454474283279,0.0
다사49004700,37.52202027046534,126.9242597336906,23829.550000000003,0.0,245.1,0.5944844568382528,0.0
다사66754575,37.5115618375427,127.12518362402596,20434.825,839.5769230769231,1556.3,0.7197422521811626,0.0
다사58754450,37.49997321452763,127.03473432839421,22350.895,0.0,908.6,0.2666025815317244,0.0
다사47004275,37.483601800692085,126.90193295577305,21648.48,0.0,1602.9,0.4192034856662311,0.0
다사38255175,37.56417603214168,126.8022131670067,20144.43,0.0,230.7,0.0,0.0
다사51504250,37.48159516223481,126.95284648771697,21477.03,0.0,2095.4,0.688786884212727,0.0
다사51755025,37.55146078018691,126.9551664195382,22061.035,0.0,2340.7,0.4726935584670301,0.0
다사61004400,37.49556402498368,127.06021531716608,20272.775,0.0,1854.4,0.0009175174742426,0.009
다사60754550,37.50907355303464,127.05730737765863,21858.18,0.0,401.1,0.3074455513358227,0.0
다사42004425,37.49682163472747,126.84526338726268,16857.204999999998,9.75,1952.6,0.5321457355062431,0.0
다사56754450,37.49988193255985,127.01210816004824,20540.77,0.0,1344.5,0.6854181321718391,0.0
