역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m
숭실대입구(살피재),7호선,1,1,359343,0,0,26685,37.496029,126.953822,10.0,2179.3333333333335,30452.5,2167.421413889205,30472.710379613534,1.7,1.0046,2.83,546.225,136.71
남성,7호선,1,3,450058,0,0,21242,37.484596,126.971251,3.0,126.83333333333334,202.0,159.10820295580504,235.93051851907953,2.6666666666666665,1.8866666666666667,4.166666666666667,579.62,281.96
이수,7호선,1,1,28785,0,0,32235,37.485196,126.981605,1.0,145.0,1685.6666666666667,221.8268484679209,2578.8008567868415,3.0,0.41,-0.6,148.77,148.77
내방,7호선,1,1,671580,0,0,27459,37.487618,126.993513,2.0,259.3333333333333,905.3333333333333,157.15124993663082,607.6408992952121,2.5,0.765,4.8,698.46,626.27
반포,7호선,1,2,678272,0,0,12630,37.508178,127.011727,2.0,171.03333333333333,570.7333333333333,138.16964738158777,473.6136072655113,5.5,1.0875,3.2,578.135,428.54
학동,7호선,1,1,29884,0,0,42408,37.514229,127.031656,1.0,9.75,35.5,10.908425495606116,39.7178569327197,4.0,0.13,8.0,510.25,510.25
청담,7호선,1,3,399038,0,0,35554,37.519365,127.05335,4.0,994.9166666666666,2085.5,500.69075408165446,1148.247917753145,3.75,2.7129999999999996,3.3,606.3975,249.63
뚝섬유원지,7호선,1,0,0,0,1,49494,37.53154,127.066704,4.0,14246.333333333334,37916.416666666664,13761.528386910692,37361.02132354745,2.25,5.66,-0.22499999999999998,412.125,149.36
어린이대공원(세종대),7호선,1,2,543093,0,0,32126,37.548014,127.074658,5.0,3365.0,50787.33333333333,4302.633274977297,64087.2411126229,2.6,1.2204000000000002,0.14,368.806,252.86
중곡,7호선,1,3,133123,1,0,20364,37.565923,127.08432,2.0,251.0,777.7142857142857,240.68624768518174,764.8890677383915,4.0,5.576,8.45,741.31,726.85
용마산,7호선,1,4,278908,1,0,11002,37.573647,127.086727,1.0,44.0,54.714285714285715,31.832502947798538,39.583924120152076,7.0,9.87,0.0,799.84,799.84
사가정,7호선,1,2,83013,1,0,31045,37.580894,127.088478,1.0,141.0,375.0,141.0,375.0,1.0,1.48,15.9,666.38,666.38
면목,7호선,1,0,0,0,0,28202,37.588579,127.087503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중화,7호선,1,1,1018689,0,0,20545,37.602545,127.079264,6.0,1112.0761904761905,9107.257142857143,1074.8438772264328,9496.674696606678,5.666666666666667,3.8906666666666663,0.09999999999999999,569.335,454.99
먹골,7호선,1,2,1551409,0,0,19618,37.610637,127.077725,6.0,1112.0761904761905,9107.257142857143,1091.1061844423941,9040.530326200202,5.666666666666667,3.8906666666666663,0.09999999999999999,536.6,411.67
공릉(서울과학기술대),7호선,1,1,20243,0,0,23890,37.625742,127.072896,5.0,3422.6666666666665,369670.6666666667,3769.3153065311267,372887.70109662035,2.6,1.05254,0.04,498.63800000000003,292.17
하계,7호선,1,3,56069,0,0,33818,37.636352,127.06799,4.0,1152.611111111111,10942.055555555555,835.6341467764075,7799.819816048223,4.5,4.273325,0.2,612.5125,539.28
중계,7호선,1,10,290085,0,0,27052,37.644583,127.064303,5.0,2654.027777777778,32570.722222222223,2211.473504636333,27647.5339585034,4.6,3.72894,0.0,612.408,211.14
마들,7호선,1,5,68106,1,0,24952,37.66494,127.057675,5.0,1021.6111111111111,8313.722222222223,929.5587298382986,7807.285500538559,5.0,4.68812,-0.039999999999999994,505.79400000000004,240.3
수락산,7호선,1,2,13144,1,0,24314,37.67785,127.055315,2.0,205.33333333333331,428.83333333333337,198.27313840903582,409.6887798767839,3.5,4.285,7.65,569.06,514.39
봉화산(서울의료원),6호선,1,3,1065267,0,0,15870,37.617283,127.091401,6.0,990.0,9461.2,711.0845472608517,7923.260376811426,2.6666666666666665,1.5644166666666666,1.1333333333333333,341.49666666666667,102.65
화랑대(서울여대입구),6호선,1,3,1065267,0,0,20223,37.620064,127.084689,5.0,855.0,7967.2,1478.9306897155475,13642.560946916652,3.0,1.8213000000000001,0.86,467.494,16.85
돌곶이,6호선,1,1,762642,0,0,20711,37.610537,127.056431,1.0,17.5,91.0,13.967755443886096,72.6323283082077,2.0,0.6905,10.9,529.95,529.95
상월곡(한국과학기술연구원),6호선,1,2,1021117,0,0,12216,37.606377,127.048491,4.0,141.0,10830.0,149.2252308865027,11271.487566897446,1.75,0.41845,2.75,475.52750000000003,351.61
월곡(동덕여대),6호선,1,3,1177753,0,0,22637,37.601948,127.041518,2.0,110.5,10402.0,105.80701366961122,9978.880104794347,2.0,0.34665,0.05,706.79,680.16
고려대(종암),6호선,1,3,547986,0,0,16933,37.590508,127.036296,4.0,1087.3333333333335,10000.5,1184.343366345124,11916.557447206254,3.25,1.1655,2.375,412.7425,207.8
안암(고대병원앞),6호선,1,1,297926,0,0,25326,37.586272,127.029005,9.0,6837.0,96427.0,4185.66783471264,62234.340010812244,3.6666666666666665,0.8227777777777778,0.8444444444444444,592.2177777777778,130.44
창신,6호선,1,4,289631,0,0,6384,37.579661,127.015241,5.0,6181.619047619048,81399.5,3906.286687786683,51893.93274007866,4.8,0.8886,-0.6,675.6600000000001,568.63
버티고개,6호선,1,2,96582,1,0,4430,37.548013,127.007055,2.0,4389.5,12757.75,4371.369547153443,12702.406075744144,5.0,4.827,2.7,551.28,420.03
한강진,6호선,1,2,28314,1,0,22423,37.539631,127.001725,2.0,4389.5,12757.75,4419.686702431144,12837.830022541477,5.0,4.827,2.7,494.32500000000005,312.7
이태원,6호선,1,2,28314,1,0,25403,37.534488,126.994302,2.0,148.5,707.25,99.67567967731846,475.5761048180856,5.0,4.2765,1.85,655.02,529.8
녹사평(용산구청),6호선,1,0,0,0,0,10771,37.534675,126.986695,3.0,2382.0,8078.5,1817.2126702389592,5823.769248202264,1.6666666666666667,0.6669999999999999,3.3333333333333335,419.3666666666666,268.41
대흥(서강대앞),6호선,1,0,0,0,0,18795,37.547771,126.942069,1.0,798.75,4489.0,1629.5920417905786,9158.358279308804,4.0,0.85,-0.8,115.4,115.4
광흥창(서강),6호선,1,1,87432,0,0,18067,37.547456,126.931993,4.0,5164.0,18007.6,4475.499040194091,18056.55750148868,4.0,0.885,0.25,374.21,71.82
상수,6호선,1,1,87432,0,0,21996,37.547716,126.922852,4.0,5164.0,18007.6,7048.275660698441,16615.539227763766,4.0,0.885,0.25,432.7475,0.8
망원,6호선,1,0,0,0,0,33178,37.556094,126.910052,1.0,5.0,14.0,5.8322641008177305,16.330339482289645,3.0,1.02,3.2,542.37,542.37
마포구청,6호선,1,1,2284085,0,0,27010,37.563515,126.903343,6.0,3552.1666666666665,151066.0,3876.8181773547017,152222.77649287312,2.6666666666666665,3.137,0.45,447.03833333333336,2.56
월드컵경기장(성산),6호선,1,2,2424107,0,0,11987,37.569532,126.899298,7.0,20641.666666666664,110430.0,21051.526874005496,113789.66629621552,2.2857142857142856,3.5847142857142855,-1.5285714285714285,427.73857142857145,30.31
증산(명지대앞),6호선,1,1,0,1,0,18150,37.583876,126.909645,4.0,1442.5,10459.5,1119.75900686901,6796.596919751934,2.5,2.67,2.975,336.645,28.06
새절(신사),6호선,1,1,0,1,0,23600,37.591148,126.913629,2.0,1000.0,9720.5,2098.666268484945,20547.388960514178,3.5,3.1149999999999998,-0.1,60.644999999999996,57.99
구산,6호선,1,0,0,0,0,14118,37.611377,126.91727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
독바위,6호선,1,3,130345,2,0,5416,37.618456,126.933031,4.0,6840.0,13862.5,6870.370968328425,13900.375422711903,1.25,0.6880000000000001,2.2750000000000012,523.875,386.69
역촌,6호선,1,1,29905,0,0,8111,37.606021,126.922744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
응암,6호선,1,0,0,0,0,34402,37.598605,126.915577,2.0,1000.0,9720.5,278.8187975472411,2675.5083124008274,3.5,3.1149999999999998,-0.1,309.235,120.41
강일,5호선,1,1,95753,0,0,11218,37.55749,127.17593,1.0,340.0,3969.0,404.9816181006193,4727.5648301216415,2.0,6.043,-0.1,326.83,326.83
마천,5호선,1,2,264926,0,0,13212,37.49499,127.152781,3.0,94.0,267.0,100.28395128625422,288.36543437326435,1.3333333333333333,1.4000000000000001,10.033333333333333,435.32333333333327,213.47
거여,5호선,1,5,742477,0,0,19046,37.493105,127.14415,3.0,113.5,2006.0,108.12706631639344,2271.5214290391787,2.3333333333333335,1.4166666666666667,1.2666666666666666,532.13,398.1
개롱,5호선,1,9,1025925,0,0,12953,37.498079,127.13482,6.0,184.66666666666666,2540.6666666666665,198.42425640059216,2354.365307541123,2.6666666666666665,0.7166666666666667,0.5666666666666668,430.62833333333333,217.99
방이,5호선,1,5,1784278,0,0,14716,37.508857,127.126133,4.0,9019.041666666666,29340.541666666664,3668.4974567290974,14301.584156123172,4.0,1.46875,-1.15,532.9875,398.26
둔촌동,5호선,1,1,1513491,0,0,24241,37.527788,127.136248,1.0,177.375,755.875,7.7590135247887515,33.06466158167553,8.0,4.92,0.0,747.14,747.14
상일동,5호선,1,4,665841,0,0,27164,37.556712,127.166417,1.0,340.0,3969.0,275.0183818993807,3210.4351698783585,2.0,6.043,-0.1,481.75,481.75
고덕,5호선,1,9,667026,0,0,19758,37.555004,127.154151,1.0,29.0,641.0,37.200939723757536,822.2690469975372,2.0,0.54,0.0,314.97,314.97
명일,5호선,1,3,65677,0,0,16034,37.55137,127.143999,1.0,29.0,641.0,20.799060276242468,459.73095300246285,2.0,0.54,0.0,564.14,564.14
굽은다리(강동구민회관앞),5호선,1,1,11467,0,0,18953,37.545477,127.142853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
길동,5호선,1,0,0,0,0,17447,37.537801,127.140004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강동,5호선,1,1,8921,0,0,35507,37.535804,127.132481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광나루(장신대),5호선,1,0,0,0,0,21906,37.545303,127.10357,6.0,4667.333333333333,12441.666666666666,4509.601343032885,12604.652350157672,1.5,3.7875,4.2,453.355,257.62
아차산(어린이대공원후문),5호선,1,1,536094,0,0,28977,37.551691,127.089761,7.0,4273.0,51440.833333333336,3865.9839059376027,45909.7099747258,2.0,1.6031428571428574,2.7857142857142856,450.90857142857146,61.73
장한평,5호선,1,3,631463,0,0,37148,37.56144,127.064623,1.0,77.75,360.0,59.3455616763332,274.78330808334346,4.0,5.05,0.0,743.81,743.81
답십리,5호선,1,4,81996,0,0,29050,37.566747,127.052704,4.0,913.6839826839827,4273.405627705627,416.46978381274135,1869.0992908181256,7.25,2.3649999999999998,0.9000000000000001,485.0475,354.89
마장,5호선,1,2,23197,0,0,11118,37.5661,127.042973,4.0,913.6839826839827,4273.405627705627,472.4686317203683,2107.889221554646,7.25,2.3649999999999998,0.9000000000000001,444.3625,371.42
행당,5호선,1,2,27973,0,0,14540,37.557322,127.029476,3.0,514.0,34476.833333333336,266.7186046451133,17120.68917477959,3.3333333333333335,0.5843333333333334,2.1666666666666665,625.0833333333334,604.39
신금호,5호선,1,2,110050,0,0,12447,37.554548,127.020331,3.0,515.2666666666667,34438.5,1262.1620038172011,87545.61744098619,4.0,0.7043333333333334,2.766666666666667,234.76333333333332,55.69
광화문(세종문화회관),5호선,1,7,630036,0,0,67146,37.571525,126.97717,2.0,4800.25,13798.125,4202.337765969802,10447.898188254532,6.0,1.936,-1.9,391.5,317.55
서대문,5호선,1,5,184518,1,0,36618,37.565773,126.966641,1.0,132.5,457.5,128.0480683626473,442.12823604461244,2.0,0.57,10.5,736.22,736.22
애오개,5호선,1,1,29682,0,0,12458,37.553736,126.95682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
마포,5호선,1,0,0,0,0,27931,37.539574,126.945932,5.0,20847.75,86282.5,20864.009809746014,86469.3916917837,2.2,2.064,-0.12000000000000002,505.03600000000006,454.79
여의나루,5호선,1,1,229539,0,1,28341,37.527098,126.932901,5.0,11027.305555555555,76222.11111111111,16391.581279325976,92361.22892524139,4.2,3.122,-0.12,344.418,47.98
영등포시장,5호선,1,1,6456,0,0,23494,37.522669,126.905139,1.0,235.88888888888889,704.7777777777778,67.66616520308779,202.1698002275958,9.0,8.2,0.0,713.99,713.99
양평,5호선,1,1,11248,0,0,21774,37.525569,126.886129,6.0,4901.0,24654.083333333332,3887.0830047073805,19473.957178861092,3.6666666666666665,2.688333333333334,0.21666666666666667,466.3866666666666,222.97
오목교(목동운동장앞),5호선,1,1,21411,0,0,41878,37.524496,126.875181,7.0,2528.266666666667,17825.483333333334,2174.475484693726,14412.038073763966,3.857142857142857,3.0471428571428576,0.17142857142857146,510.8757142857143,269.43
목동,5호선,1,1,21411,0,0,32884,37.526065,126.864931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신정(은행정),5호선,1,1,11997,0,0,23522,37.524997,126.856191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
까치산,5호선,1,2,942143,0,0,52280,37.531768,126.846683,1.0,8.5,14.5,15.579186663298813,26.576259602097974,2.0,0.68,5.9,55.25,55.25
