id,name,athlete_count,effort_count,distance_km,avg_grade,city,state,start_lat,start_lng,end_lat,end_lng,points,route_coords
25680364,Über die Brücke,19516,105288,0.2,0.0,Seongdong-gu,Seoul,37.545833,127.03008,37.544677,127.031677,mdddF_qifWLq@FWd@u@PQ?GFIAGDITWf@_@^_@VOV_@,"[(37.54583, 127.03008), (37.54576, 127.03033), (37.54572, 127.03045), (37.54553, 127.03072), (37.54544, 127.03081), (37.54544, 127.03085), (37.5454, 127.0309), (37.54541, 127.03094), (37.54538, 127.03099), (37.54527, 127.03111), (37.54507, 127.03127), (37.54491, 127.03143), (37.54479, 127.03151), (37.54467, 127.03167)]"
7455930,[휴레] 남산TR Part 2,19048,145109,3.09,0.6,South Korea,,37.55498,126.98401,37.550949,126.997625,s}edFaq`fW[[iAYMOEk@Ho@Ek@IQ][Kk@@KVc@Za@~@s@Rg@AG[_@SEg@Ca@OQo@Em@?KLk@Va@f@G\YHOBm@Ye@k@WiAi@_@Oe@UMMSg@Gm@Ao@Sk@[a@Ok@?m@Tg@@q@k@{AEo@Rk@\]b@ClA\lBp@f@H`@WXg@jAkDPm@\mCPm@Z_@DAd@Ep@?`@Qh@iABCd@Mb@CpARd@CZa@Fy@Hi@h@iAXc@Te@@o@Oi@Wi@Wa@m@gA]a@a@YoA[yCHe@Fg@Ac@EmADe@K[_@Ye@_@]QWSe@c@yAEm@LmCJo@Vc@b@Id@Nb@T^\j@jAb@pA`@|Ab@RtCRb@NpDbBvCx@f@Jb@E`@W,"[(37.55498, 126.98401), (37.55512, 126.98415), (37.55549, 126.98428), (37.55556, 126.98436), (37.55559, 126.98458), (37.55554, 126.98482), (37.55557, 126.98504), (37.55562, 126.98513), (37.55577, 126.98527), (37.55583, 126.98549), (37.55582, 126.98555), (37.5557, 126.98573), (37.55556, 126.9859), (37.55524, 126.98616), (37.55514, 126.98636), (37.55515, 126.9864), (37.55529, 126.98656), (37.55539, 126.98659), (37.55559, 126.98661), (37.55576, 126.98669), (37.55585, 126.98693), (37.55588, 126.98716), (37.55588, 126.98722), (37.55581, 126.98744), (37.55569, 126.98761), (37.55549, 126.98765), (37.55534, 126.98778), (37.55529, 126.98786), (37.55527, 126.98809), (37.5554, 126.98828), (37.55562, 126.9884), (37.55599, 126.98861), (37.55615, 126.98869), (37.55634, 126.9888), (37.55641, 126.98887), (37.55651, 126.98907), (37.55655, 126.9893), (37.55656, 126.98954), (37.55666, 126.98976), (37.5568, 126.98993), (37.55688, 126.99015), (37.55688, 126.99038), (37.55677, 126.99058), (37.55676, 126.99083), (37.55698, 126.99129), (37.55701, 126.99153), (37.55691, 126.99175), (37.55676, 126.9919), (37.55658, 126.99192), (37.55619, 126.99177), (37.55564, 126.99152), (37.55544, 126.99147), (37.55527, 126.99159), (37.55514, 126.99179), (37.55476, 126.99265), (37.55467, 126.99288), (37.55452, 126.99359), (37.55443, 126.99382), (37.55429, 126.99398), (37.55426, 126.99399), (37.55407, 126.99402), (37.55382, 126.99402), (37.55365, 126.99411), (37.55344, 126.99448), (37.55342, 126.9945), (37.55323, 126.99457), (37.55305, 126.99459), (37.55264, 126.99449), (37.55245, 126.99451), (37.55231, 126.99468), (37.55227, 126.99497), (37.55222, 126.99518), (37.55201, 126.99555), (37.55188, 126.99573), (37.55177, 126.99592), (37.55176, 126.99616), (37.55184, 126.99637), (37.55196, 126.99658), (37.55208, 126.99675), (37.55231, 126.99711), (37.55246, 126.99728), (37.55263, 126.99741), (37.55303, 126.99755), (37.5538, 126.9975), (37.55399, 126.99746), (37.55419, 126.99747), (37.55437, 126.9975), (37.55476, 126.99747), (37.55495, 126.99753), (37.55509, 126.99769), (37.55522, 126.99788), (37.55538, 126.99803), (37.55547, 126.99815), (37.55557, 126.99834), (37.55575, 126.99879), (37.55578, 126.99902), (37.55571, 126.99973), (37.55565, 126.99997), (37.55553, 127.00015), (37.55535, 127.0002), (37.55516, 127.00012), (37.55498, 127.00001), (37.55482, 126.99986), (37.5546, 126.99948), (37.55442, 126.99907), (37.55425, 126.9986), (37.55407, 126.9985), (37.55332, 126.9984), (37.55314, 126.99832), (37.55225, 126.99782), (37.55149, 126.99753), (37.55129, 126.99747), (37.55111, 126.9975), (37.55094, 126.99762)]"
13422108,Banpo to Hannam 1Mile,18659,96068,1.62,0.0,Seoul,,37.519703,126.994868,37.528922,127.008241,ca_dF{tbfWAEJq@Es@]}Ac@qAU}Ag@wAq@oA]cBw@oC]]Um@e@uAo@oCSc@q@o@Y]aBoC[a@c@a@mBkAg@Ym@Ka@QwCsAoAaA_A}@}@kAi@kA[i@q@uAuAwBaE{Fi@i@[c@e@g@w@eAc@eA,"[(37.5197, 126.99486), (37.51971, 126.99489), (37.51965, 126.99514), (37.51968, 126.9954), (37.51983, 126.99587), (37.52001, 126.99628), (37.52012, 126.99675), (37.52032, 126.99719), (37.52057, 126.99759), (37.52072, 126.99809), (37.521, 126.99881), (37.52115, 126.99896), (37.52126, 126.99919), (37.52145, 126.99962), (37.52169, 127.00034), (37.52179, 127.00052), (37.52204, 127.00076), (37.52217, 127.00091), (37.52266, 127.00163), (37.5228, 127.0018), (37.52298, 127.00197), (37.52353, 127.00235), (37.52373, 127.00248), (37.52396, 127.00254), (37.52413, 127.00263), (37.52489, 127.00305), (37.52529, 127.00338), (37.52561, 127.00369), (37.52592, 127.00407), (37.52613, 127.00445), (37.52627, 127.00466), (37.52652, 127.00509), (37.52695, 127.00569), (37.52792, 127.00695), (37.52813, 127.00716), (37.52827, 127.00734), (37.52846, 127.00754), (37.52874, 127.00789), (37.52892, 127.00824)]"
5408106,63 Building > 한강철교 ,16837,72588,0.98,-0.7,South Korea,,37.52034,126.941338,37.517091,126.949153,ae_dFifxeWb@IxABrFYlA_@t@a@TWNe@@k@]oCq@{DScCIkB@kAPiDd@cDjAgEd@uAJUTs@HQ,"[(37.52033, 126.94133), (37.52015, 126.94138), (37.5197, 126.94136), (37.51848, 126.94149), (37.51809, 126.94165), (37.51782, 126.94182), (37.51771, 126.94194), (37.51763, 126.94213), (37.51762, 126.94235), (37.51777, 126.94307), (37.51802, 126.94401), (37.51812, 126.94467), (37.51817, 126.94521), (37.51816, 126.94559), (37.51807, 126.94644), (37.51788, 126.94726), (37.5175, 126.94826), (37.51731, 126.94869), (37.51725, 126.9488), (37.51714, 126.94906), (37.51709, 126.94915)]"
8231184,올팍 장미공원까지 스프린트 ,15577,45043,0.23,-0.6,Seoul,,37.51541,127.130098,37.513246,127.128998,if~cFab}fWj@Rf@Lx@ZXNT@PDn@`@XJXTb@HxAv@,"[(37.51541, 127.13009), (37.51519, 127.12999), (37.51499, 127.12992), (37.5147, 127.12978), (37.51457, 127.1297), (37.51446, 127.12969), (37.51437, 127.12966), (37.51413, 127.12949), (37.514, 127.12943), (37.51387, 127.12932), (37.51369, 127.12927), (37.51324, 127.12899)]"
27762750,[반미런]영동TO성수,15538,67793,1.99,0.1,Gangnam-gu,Seoul,37.527,127.055377,37.533383,127.034579,wn`dFaonfWaAjAo@fA[`@S^g@nAmA|Bi@~Aa@hBUz@WxBw@tEYpCM`AATg@fCGn@SfAIt@k@~C{A`J[rAM^]bBSt@a@tBu@nEC`@gA`GSjBUlAGt@I^MbAKf@Cl@]bCQdAg@dBe@lBg@|CEb@_@hAKvA,"[(37.527, 127.05537), (37.52733, 127.05499), (37.52757, 127.05463), (37.52771, 127.05446), (37.52781, 127.0543), (37.52801, 127.0539), (37.5284, 127.05327), (37.52861, 127.05279), (37.52878, 127.05226), (37.52889, 127.05196), (37.52901, 127.05135), (37.52929, 127.05028), (37.52942, 127.04955), (37.52949, 127.04922), (37.5295, 127.04911), (37.5297, 127.04843), (37.52974, 127.04819), (37.52984, 127.04783), (37.52989, 127.04756), (37.53011, 127.04676), (37.53057, 127.04499), (37.53071, 127.04457), (37.53078, 127.04441), (37.53093, 127.04391), (37.53103, 127.04364), (37.5312, 127.04305), (37.53147, 127.04201), (37.53149, 127.04184), (37.53185, 127.04055), (37.53195, 127.04001), (37.53206, 127.03962), (37.5321, 127.03935), (37.53215, 127.03919), (37.53222, 127.03885), (37.53228, 127.03865), (37.5323, 127.03842), (37.53245, 127.03776), (37.53254, 127.03741), (37.53274, 127.0369), (37.53293, 127.03635), (37.53313, 127.03556), (37.53316, 127.03538), (37.53332, 127.03501), (37.53338, 127.03457)]"
27728091,Bridge to Bridge Northside,15413,86334,0.81,0.0,Seongdong-gu,Seoul,37.553475,127.044198,37.550652,127.03591,etedFeilfWNz@Dd@P|DLrAXnB^dBNbARn@Pz@~@rDp@tCf@tAR~@|@rBVb@hArC~@pB,"[(37.55347, 127.04419), (37.55339, 127.04389), (37.55336, 127.0437), (37.55327, 127.04275), (37.5532, 127.04233), (37.55307, 127.04177), (37.55291, 127.04126), (37.55283, 127.04092), (37.55273, 127.04068), (37.55264, 127.04038), (37.55232, 127.03948), (37.55207, 127.03873), (37.55187, 127.0383), (37.55177, 127.03798), (37.55146, 127.0374), (37.55134, 127.03722), (37.55097, 127.03648), (37.55065, 127.03591)]"
20766366,새벽강변마라톤 -- 5km Route.,15394,59230,2.3,-0.6,Yeongdeungpo-gu,Seoul,37.528698,126.931727,37.533402,126.909678,iy`dFgjveWcCrAoBxAs@p@[f@Mh@?j@D^d@rBLlAA`@Mt@Wx@o@xA_AfB]dAWj@y@dCYl@_@d@eBtA{@z@a@b@e@z@Qp@g@jD_AzC]~A]zBg@hBMt@Ej@GlDG|@Mx@[fAOnAIfBChBI|@q@~BMx@GrA?rAFpAPhAz@hDr@rBd@nCr@fBHLfAjAP`@Db@?h@[xC,"[(37.52869, 126.93172), (37.52935, 126.9313), (37.52991, 126.93085), (37.53017, 126.9306), (37.53031, 126.9304), (37.53038, 126.93019), (37.53038, 126.92997), (37.53035, 126.92981), (37.53016, 126.92923), (37.53009, 126.92884), (37.5301, 126.92867), (37.53017, 126.9284), (37.53029, 126.92811), (37.53053, 126.92766), (37.53085, 126.92714), (37.531, 126.92679), (37.53112, 126.92657), (37.53141, 126.9259), (37.53154, 126.92567), (37.5317, 126.92548), (37.53221, 126.92505), (37.53251, 126.92475), (37.53268, 126.92457), (37.53287, 126.92427), (37.53296, 126.92402), (37.53316, 126.92316), (37.53348, 126.92238), (37.53363, 126.9219), (37.53378, 126.92128), (37.53398, 126.92075), (37.53405, 126.92048), (37.53408, 126.92026), (37.53412, 126.91939), (37.53416, 126.91908), (37.53423, 126.91879), (37.53437, 126.91843), (37.53445, 126.91803), (37.5345, 126.91751), (37.53452, 126.91698), (37.53457, 126.91667), (37.53482, 126.91603), (37.53489, 126.91574), (37.53493, 126.91532), (37.53493, 126.9149), (37.53489, 126.91449), (37.5348, 126.91412), (37.5345, 126.91327), (37.53424, 126.91269), (37.53405, 126.91197), (37.53379, 126.91145), (37.53374, 126.91138), (37.53338, 126.911), (37.53329, 126.91083), (37.53326, 126.91065), (37.53326, 126.91044), (37.5334, 126.90967)]"
19042602,염강나들목~안합,15269,63621,1.46,-0.1,Gangseo-gu,Seoul,37.562122,126.865537,37.553823,126.87807,gjgdFqlieWr@_Bj@eAnAwCv@}A|BsDd@{@|@sA\e@^c@xA}B`@i@jDgEl@kAr@{@fAmAhB_C`A_BzA{BpDcEb@_@v@}@DKPw@rByK,"[(37.56212, 126.86553), (37.56186, 126.86601), (37.56164, 126.86636), (37.56124, 126.86712), (37.56096, 126.86759), (37.56033, 126.86849), (37.56014, 126.86879), (37.55983, 126.86921), (37.55968, 126.8694), (37.55952, 126.86958), (37.55907, 126.87021), (37.5589, 126.87042), (37.55804, 126.87142), (37.55781, 126.8718), (37.55755, 126.8721), (37.55719, 126.87249), (37.55666, 126.87313), (37.55633, 126.87361), (37.55587, 126.87423), (37.55498, 126.87521), (37.5548, 126.87537), (37.55452, 126.87568), (37.55449, 126.87574), (37.5544, 126.87602), (37.55382, 126.87807)]"
17567260,lululemon - Han River,14818,68641,2.0,-0.3,Seoul,Seoul,37.520116,127.093886,37.519635,127.071912,uc_dFw_vfWl@zANn@JR^rAZ`BXbA@HCHIDEHAHFh@XbAHn@XbD^hDHjADpAHz@JlBNrA@z@\~EBjATbDFdCDZ@xBFdCEdC@x@G|AB`AOzACt@KrAEtAg@jFMvB]`Di@vDe@hH[lCUpDUfB,"[(37.52011, 127.09388), (37.51988, 127.09342), (37.5198, 127.09318), (37.51974, 127.09308), (37.51958, 127.09266), (37.51944, 127.09217), (37.51931, 127.09183), (37.5193, 127.09178), (37.51932, 127.09173), (37.51937, 127.0917), (37.5194, 127.09165), (37.51941, 127.0916), (37.51937, 127.09139), (37.51924, 127.09105), (37.51919, 127.09081), (37.51906, 127.08999), (37.5189, 127.08914), (37.51885, 127.08876), (37.51882, 127.08835), (37.51877, 127.08805), (37.51871, 127.0875), (37.51863, 127.08708), (37.51862, 127.08678), (37.51847, 127.08566), (37.51845, 127.08528), (37.51834, 127.08446), (37.5183, 127.08379), (37.51827, 127.08365), (37.51826, 127.08304), (37.51822, 127.08237), (37.51825, 127.0817), (37.51824, 127.08141), (37.51828, 127.08094), (37.51826, 127.08061), (37.51834, 127.08015), (37.51836, 127.07988), (37.51842, 127.07946), (37.51845, 127.07903), (37.51865, 127.07785), (37.51872, 127.07725), (37.51887, 127.07644), (37.51908, 127.07552), (37.51927, 127.07403), (37.51941, 127.07332), (37.51952, 127.07243), (37.51963, 127.07191)]"
12333537,Memory Gongs,14685,65192,0.12,9.9,Seoul,,37.503671,127.069559,37.504296,127.068669,}|{cFugqfWD@?DERaAnA[\QVE@GN@A,"[(37.50367, 127.06955), (37.50364, 127.06954), (37.50364, 127.06951), (37.50367, 127.06941), (37.504, 127.06901), (37.50414, 127.06886), (37.50423, 127.06874), (37.50426, 127.06873), (37.5043, 127.06865), (37.50429, 127.06866)]"
22955868,TRB - 성내천 올림픽대교남단,14450,69648,1.02,-0.3,Songpa-gu,Seoul,37.524916,127.102456,37.532175,127.108826,ua`dFiuwfWo@s@Y_@Yw@MgASk@IMa@_@IEqCm@QGIKM[i@w@iBiBm@w@e@YqB}Bk@c@c@c@cF}FWGKAQIa@a@e@U_Am@[G[@i@S{AMi@M,"[(37.52491, 127.10245), (37.52515, 127.10271), (37.52528, 127.10287), (37.52541, 127.10315), (37.52548, 127.10351), (37.52558, 127.10373), (37.52563, 127.1038), (37.5258, 127.10396), (37.52585, 127.10399), (37.52658, 127.10422), (37.52667, 127.10426), (37.52672, 127.10432), (37.52679, 127.10446), (37.527, 127.10474), (37.52753, 127.10527), (37.52776, 127.10555), (37.52795, 127.10568), (37.52852, 127.10631), (37.52874, 127.10649), (37.52892, 127.10667), (37.53006, 127.10794), (37.53018, 127.10798), (37.53024, 127.10799), (37.53033, 127.10804), (37.5305, 127.10821), (37.53069, 127.10832), (37.53101, 127.10855), (37.53115, 127.10859), (37.53129, 127.10858), (37.5315, 127.10868), (37.53196, 127.10875), (37.53217, 127.10882)]"
13069367,양화대교(남->북),13440,21850,1.0,-1.2,Seoul,,37.539466,126.900762,37.546336,126.907938,s|bdFwhpeWoA_Ac@c@mAy@m@e@k@a@g@U}@m@kAcA}B{Bm@y@cAgAkBiCsA{AQSYo@QSe@a@cAmAm@{@cBuBqAiBsAcB,"[(37.53946, 126.90076), (37.53986, 126.90108), (37.54004, 126.90126), (37.54043, 126.90155), (37.54066, 126.90174), (37.54088, 126.90191), (37.54108, 126.90202), (37.54139, 126.90225), (37.54177, 126.90259), (37.5424, 126.90321), (37.54263, 126.9035), (37.54297, 126.90386), (37.54351, 126.90455), (37.54393, 126.90501), (37.54402, 126.90511), (37.54415, 126.90535), (37.54424, 126.90545), (37.54443, 126.90562), (37.54477, 126.90601), (37.545, 126.90631), (37.5455, 126.9069), (37.54591, 126.90743), (37.54633, 126.90793)]"
17194605,Wonhyo2Mapo,13199,59356,1.19,-0.2,Seoul,Seoul,37.530354,126.951454,37.53672,126.942009,ucadFqezeWORGDQVSn@]h@YXUPQJa@f@MVk@|@OH[ZGBU^eAfAYh@c@\mArAOVqA~AoAxBQj@OlACx@BrA?|BEpAE\YnAa@lAEZMZQPMVWXs@`@OPSBy@`@UBe@NoBlAQHk@h@,"[(37.53035, 126.95145), (37.53043, 126.95135), (37.53047, 126.95132), (37.53056, 126.9512), (37.53066, 126.95096), (37.53081, 126.95075), (37.53094, 126.95062), (37.53105, 126.95053), (37.53114, 126.95047), (37.53131, 126.95027), (37.53138, 126.95015), (37.5316, 126.94984), (37.53168, 126.94979), (37.53182, 126.94965), (37.53186, 126.94963), (37.53197, 126.94947), (37.53232, 126.94911), (37.53245, 126.9489), (37.53263, 126.94875), (37.53302, 126.94833), (37.5331, 126.94821), (37.53351, 126.94773), (37.53391, 126.94712), (37.534, 126.9469), (37.53408, 126.94651), (37.5341, 126.94622), (37.53408, 126.9458), (37.53408, 126.94517), (37.53411, 126.94476), (37.53414, 126.94461), (37.53427, 126.94421), (37.53444, 126.94382), (37.53447, 126.94368), (37.53454, 126.94354), (37.53463, 126.94345), (37.5347, 126.94333), (37.53482, 126.9432), (37.53508, 126.94303), (37.53516, 126.94294), (37.53526, 126.94292), (37.53555, 126.94275), (37.53566, 126.94273), (37.53585, 126.94265), (37.53641, 126.94226), (37.5365, 126.94221), (37.53672, 126.942)]"
11845336,Yanghwagyo - Han,12829,74884,0.62,-0.7,Seoul,,37.548206,126.881084,37.553144,126.878001,gsddFwmleWUh@MPuAnASF{BhAs@b@o@Xg@^_Bt@[X{@d@_@Lc@VSDyAdAUHu@Lo@TS?kAT,"[(37.5482, 126.88108), (37.54831, 126.88087), (37.54838, 126.88078), (37.54881, 126.88038), (37.54891, 126.88034), (37.54953, 126.87997), (37.54979, 126.87979), (37.55003, 126.87966), (37.55023, 126.8795), (37.55071, 126.87923), (37.55085, 126.8791), (37.55115, 126.87891), (37.55131, 126.87884), (37.55149, 126.87872), (37.55159, 126.87869), (37.55204, 126.87834), (37.55215, 126.87829), (37.55242, 126.87822), (37.55266, 126.87811), (37.55276, 126.87811), (37.55314, 126.878)]"
