id,name,athlete_count,effort_count,distance_km,avg_grade,city,start_lat,start_lng,end_lat,end_lng
25926063,진옥자전거캠프-용마산(아치울마을-쉼터)(JOBC),89,215,0.46,9.5,Guri-si,37.576509,127.111931,37.577252,127.10721
26665360,Dosin-ro 9-gil down,89,949,0.37,-0.8,Yeongdeungpo-gu,37.507689,126.894927,37.505022,126.897218
18198059,풍동 식골공원 산책로 (1.5km),89,1898,1.49,0.4,Goyang-si,37.667383,126.797738,37.667394,126.797745
9726027,bulgwang stream(불광천) 5km,88,292,5.14,-0.0,Seoul,37.580263,126.906944,37.58042,126.906959
32167626,웃고얀공원5회전,88,2048,1.69,0.0,Bucheon,37.4757,126.81161,37.47563,126.811584
21884653,삼육대 트랙(@y0_hee),87,2604,0.75,-0.1,Nowon-gu,37.641797,127.107493,37.641792,127.10752
29574647,노온정수장트랙,87,2926,0.45,-0.1,Gwangmyeong-si,37.447061,126.856795,37.447021,126.856813
21125245,진옥자전거캠프-서울둘레길3구간(일자산1쉼터-마지막전망대왕복)(JOBC),86,206,5.36,0.0,Hanam-si,37.540199,127.163917,37.540169,127.163882
25459450,A lovely trail,86,568,0.66,-5.3,Dongjak-gu,37.49374,126.948612,37.499023,126.948156
21739532,백석축구장,85,1031,2.51,0.2,Goyang-si,37.648661,126.795028,37.647616,126.794443
29491202,Detention Center Uphill-2_JK,85,767,0.35,3.5,Garak 2(i)-dong,37.499307,127.132035,37.497121,127.129303
32531439,(휴먼링 LSD 3회전) 시계방향 13K+,85,264,13.14,0.0,Seongnam-si,37.469595,127.139466,37.469609,127.139462
5220394,Segment,84,103,0.33,16.5,South Korea,37.458776,126.927794,37.460856,126.925653
20559240,봉제산점심메인업힐,83,507,0.37,10.2,Gangseo-gu,37.546764,126.856932,37.549184,126.856805
6487454,Segment,82,138,0.91,4.5,South Korea,37.544182,126.97029,37.546807,126.962094
32050839,디지털로 400m 질주,81,148,0.43,-0.1,Yeongdeungpo-gu,37.493894,126.904773,37.496705,126.907976
21610694,삼육대 트랙,81,1694,0.87,0.0,Nowon-gu,37.641801,127.107578,37.641738,127.107597
12795384,과기대 흙운동장,79,646,0.28,-0.1,,37.63012,127.077308,37.630126,127.077255
36715196,부천 중앙공원 13바퀴.by 심마루,79,401,20.28,0.0,Sinjung-dong,37.501066,126.768352,37.50112,126.768477
11789643,Hospital Road,79,829,0.29,-0.4,Seoul,37.512089,126.832608,37.51429,126.831164
5220393,Segment,78,113,0.97,7.6,South Korea,37.465384,126.931316,37.458263,126.928705
30614922,MC route A구간,77,605,1.31,0.8,Gangseo-gu,37.550159,126.816908,37.538451,126.817053
26381167,진옥자전거캠프-북한산우이령길(고현탐방로-석굴암)(JOBC),76,82,2.81,6.7,Yangju-si,37.699236,126.975369,37.694944,126.994192
22168502,Sangam TR-Autumn Course,76,215,10.02,0.0,Mapo-gu,37.569516,126.898562,37.569988,126.898421
5734327,Segment,75,157,1.15,9.6,South Korea,37.662296,127.074532,37.661416,127.085
14700901,빅토뤼아Loop,75,226,10.02,-0.0,Seoul,37.524328,126.879018,37.525089,126.87834
33856360,Heungdo Ro,75,166,0.36,1.4,덕양구,37.641788,126.85053,37.644852,126.851886
30528360,꽃향기 basic course,73,1193,4.13,0.0,Goyang-si,37.605727,126.893095,37.60586,126.893255
10643253,CCW Lap,73,726,0.35,-0.0,Goyang-si,37.631352,126.832389,37.63133,126.832418
25031972,진옥자전거캠프-소래산(쉼터-소래산)(JOBC),71,135,1.17,15.4,Namdong-gu,37.447265,126.768405,37.451839,126.77857
