id,name,distance,avg_grade,start_lat,start_lng,end_lat,end_lng,effort_count,athlete_count,star_count,polyline
6638054,파리공원,726.8,0.0,37.533844,126.876819,37.533825,126.876781,27434.0,563.0,9.0,oyadFaskeWJmBKUMO_@Ge@Y_AYIKIUMm@QEOD}@t@y@d@]Hs@\SLELA`@BLLLJBTNTj@~@lALDHJVLRPXJVPf@JL@XHT?`@FPOPo@HaAJs@
13378457,여의도LSD코스-8Km,8198.4,0.0,37.533447,126.909824,37.533583,126.909259,6343.0,2123.0,11.0,_wadFkareWEn@Ml@UZViBLQb@Ax@Hd@GjAYZMjAi@d@Gd@Mn@_@@Yr@BpBA`BGzCa@vCi@tCw@jBc@b@Sb@MfAk@^]`@Od@G`@QbAu@lDqB`Aw@`Ai@jCmAjC_BbBiAjDsCb@Sf@Mj@BV_@Ni@~AmAp@w@^]r@_AbAuBZ{@Ve@tAwEPi@p@_CJo@b@sALk@x@aCjA{Eb@sATgAp@eCh@iCJm@f@aHJo@Fq@?m@N}AZuI@q@GwC?eBIqCCo@g@sFEq@SwAO}Aq@mFa@wDkAeIMm@Wg@m@kCEe@?_@WaBM}Aa@}CSe@U_A@s@F]L_@F`@Ap@GV[ZgAf@c@LwBRa@?oAHq@GYHg@Ce@BgAd@[\c@N[b@]X]\Wb@uAdBy@~@a@\oAfB{AzA_Aj@]\s@fAaAtBw@hAw@`Ay@v@eBdA_Ap@_@\_@`@s@`Aq@jA_AzBa@nA]x@oAbBuAxA_A|@a@VgB`AaAn@}@t@]`@]XUf@In@RzAZxAHp@@l@Gl@e@tAi@nAcArBoAhDWf@Qj@Wb@_@^cDjCs@jASj@On@YjCMh@c@tAUd@Qh@Ml@Gp@UzAc@vASbBIpCK~AIp@[|AS~AK`EIp@Ol@a@pAIl@Gp@Cr@@`BHxAPxA^tAb@vAh@nANzALl@`@tATf@Zb@^^Vb@Nj@Bn@OlCIn@Qh@
13069367,양화대교(남->북),999.0,-1.2,37.539466,126.900762,37.546336,126.907938,21850.0,13439.0,16.0,s|bdFwhpeWoA_Ac@c@mAy@m@e@k@a@g@U}@m@kAcA}B{Bm@y@cAgAkBiCsA{AQSYo@QSe@a@cAmAm@{@cBuBqAiBsAcB
11845321,Mokdonggyo - Yangpyeonggyo,1097.3,0.0,37.530775,126.889203,37.539991,126.888573,63154.0,12163.0,12.0,ifadFo`neWAEKMy@k@SIm@Ea@FI?s@Uo@a@k@GiBa@c@O}B]WIi@?YEY?aAJ{AZU?mAYYKQQUIa@Qa@IQHSRSJwAd@i@Vs@V]Pu@RgDhByCdAgAl@IFKN
21239097,용괴,357.0,9.4,37.541307,126.876616,37.54308,126.877102,2123.0,274.0,12.0,chcdFyqkeWGAYvABBk@\a@LU@e@LM?EF_@K]?y@PO?OGMMA_@Km@CY?IFI@MDeB
10541753,성산~가양턴하고~성산 10km 구간-made by 우이리,9654.9,0.1,37.546041,126.890705,37.548412,126.888153,416.0,329.0,4.0,weddF{ineWa@Ra@\mCxA_@\mA`Bs@hAu@~@g@vAUh@cH|LoApBaErHaAvBQh@kAtD}@rDOh@{@zBeAxB{@dCs@bCKl@]vA[|As@~DYzASj@uBzB{AxAwAdBgBtCiCrDmDrEsBbCkBnC{@fAu@jAuAjBiB~C_BxCaAbCyA|CcI`PaAvBaBbDk@tAqCfF_@ZmAhDsEdJcAxB[d@qAzCuBbEm@rAo@jAi@nAeAvBcBvCkEjJo@lAoCzF_AtB_DtGQ\MNtBkEvB{Df@sA~@sBnB_EhBcEl@mAp@{@Ng@fAuBTg@hAyBxA_Dr@oAtBkERm@fA_Ch@sAd@yAj@mAlAsBr@gATg@Pk@n@oATk@hA}BRi@Ve@r@cAl@oAZe@d@oAx@mATg@zBcElBiDpBmExA{CpBoEBc@r@kAn@oAhAqBpBeC~CyE`FeGrAcBfCmDjAqBpAiBZ_@|@{@lC}CRk@Nq@^kCr@{D^yAp@_CLm@Pk@j@qAb@qAdAyBd@qANi@d@iChAuDNo@x@}BVg@f@qAzBmCx@gArCyEjAuB|ByD
5746967,서강대교 (뿍>남),1124.5,-0.0,37.54296,126.928827,37.533963,126.923029,34690.0,20964.0,22.0,orcdFcxueWdGjCn@b@`IhEjL`HxJtFhJtF
17428885,마포대교to서강대교,1349.8,0.4,37.537285,126.941574,37.543169,126.929527,49919.0,12229.0,8.0,_obdFygxeWc@LsBfBuCpBk@X_A`AuBnAs@p@cA~AqAvCQZC@Un@C?IJu@|AOj@Mn@KdA?p@B~@BPL|BX`D@~@KbAqArD]bBSxAOh@s@hAaCbI
17194605,Wonhyo2Mapo,1187.3,-0.2,37.530354,126.951454,37.53672,126.942009,59372.0,13202.0,11.0,ucadFqezeWORGDQVSn@]h@YXUPQJa@f@MVk@|@OH[ZGBU^eAfAYh@c@\mArAOVqA~AoAxBQj@OlACx@BrA?|BEpAE\YnAa@lAEZMZQPMVWXs@`@OPSBy@`@UBe@NoBlAQHk@h@
8584198,여의도공원 Conrad Entry,2662.0,0.0,37.526845,126.925087,37.526544,126.92444,87304.0,9054.0,10.0,wm`dFw`ueWkAaAZIAKu@iASi@Wc@Gs@Oi@w@kAa@]_@_@uA_BFs@]Yg@@e@NwAv@U^Uf@_@`@@r@jBbANj@Zb@HbAnB^`@\r@|@~AtCNh@h@xAn@hASn@JZ^\Tf@|@jAHt@Nb@l@pAbAZb@~Bb@tAVb@v@~@Zd@Rj@Z^`@Vl@rAb@tAVd@x@dAXf@h@nAb@Vb@Ld@E|@cANm@@m@Ek@Uk@m@sA[a@sC{E[]q@mAUc@Ok@Ug@w@cAi@mAaCuDk@sAk@kAs@iASa@Oo@
