역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,위도,경도
도곡,분당선,2,8,728676,0,0,37.491224,127.055186
한티,분당선,1,3,290868,0,0,37.496237,127.052873
선릉,분당선,2,1,240593,0,0,37.504856,127.048807
녹천,경원선,1,5,774858,0,0,37.644799,127.051269
월계,경원선,1,1,664905,0,0,37.633212,127.058831
광운대,경원선,1,1,20243,0,0,37.623632,127.061835
석계,경원선,2,2,552963,0,0,37.614532,127.065934
신이문,경원선,1,3,1441147,0,0,37.601854,127.067325
외대앞,경원선,1,3,1174009,0,0,37.596073,127.063549
회기,중앙선,1,2,422219,0,0,37.58946,127.057583
청량리(서울시립대입구),경원선,2,1,15180,0,0,37.580759,127.0483
왕십리(성동구청),경원선,3,0,0,0,0,37.561827,127.038352
응봉,경원선,1,2,1013714,0,0,37.549946,127.034538
옥수,경원선,2,1,0,1,1,37.540446,127.018672
한남,경원선,1,1,28314,0,2,37.52943,127.009169
서빙고,경원선,1,2,134252,0,1,37.519594,126.988537
이촌(국립중앙박물관),경원선,2,1,75900,0,1,37.522427,126.973406
신도림,경부선,2,1,25188,0,0,37.508787,126.891144
영등포,경부선,1,2,68000,0,0,37.515504,126.907628
대방,경부선,2,2,432110,0,0,37.513342,126.926382
노량진,경부선,2,2,463574,0,1,37.514149,126.94271
용산,경부선,1,0,0,0,0,37.529849,126.964561
남영,경부선,1,1,171277,0,0,37.541021,126.9713
서울역,경부선,6,3,46706,1,0,37.554337,126.971134
남태령,4호선,1,2,0,2,0,37.463873,126.989134
사당,4호선,2,2,0,2,0,37.476955,126.981651
총신대입구(이수),4호선,1,1,28785,0,0,37.486263,126.981989
동작(현충원),4호선,2,1,41956,0,1,37.502852,126.980347
이촌(국립중앙박물관),4호선,2,2,134252,0,1,37.522295,126.974733
신용산,4호선,1,0,0,0,0,37.52917,126.967894
삼각지,4호선,2,0,0,0,0,37.534075,126.9726
숙대입구(갈월),4호선,1,1,171277,0,0,37.54456,126.972106
서울역,4호선,6,3,46706,1,0,37.55281,126.972556
회현(남대문시장),4호선,1,4,90265,1,0,37.558514,126.978246
명동,4호선,1,1,0,1,0,37.560989,126.986325
충무로,4호선,2,1,0,1,0,37.561207,126.99408
동대문역사문화공원,4호선,3,3,219707,1,0,37.565133,127.007885
동대문,4호선,2,3,228111,0,0,37.57093,127.009287
혜화,4호선,1,6,925846,1,0,37.582336,127.001844
한성대입구(삼선교),4호선,1,5,581161,1,0,37.588458,127.006221
성신여대입구(돈암),4호선,2,2,435685,0,0,37.592612,127.016441
길음,4호선,1,1,297926,0,0,37.603407,127.025053
미아사거리,4호선,1,2,1626998,0,0,37.613292,127.030053
미아(서울사이버대학),4호선,1,1,1368523,0,0,37.62667,127.025983
수유(강북구청),4호선,1,2,1416840,0,0,37.638052,127.025732
쌍문,4호선,1,2,376335,0,0,37.648627,127.034709
창동,4호선,1,2,32825,0,0,37.653088,127.047274
노원,4호선,2,2,52607,0,0,37.65627,127.063276
상계,4호선,1,4,28585,2,0,37.660878,127.073572
불암산,4호선,1,2,0,2,0,37.670272,127.079066
오금,3호선,2,6,358553,0,0,37.502129,127.128319
경찰병원,3호선,1,7,325874,0,0,37.495918,127.12454
가락시장,3호선,2,4,59459,0,0,37.492245,127.117757
수서,3호선,3,2,630145,0,0,37.487378,127.101907
일원,3호선,1,1,12878,0,0,37.483681,127.08439
대청,3호선,1,7,855002,0,0,37.493514,127.079532
학여울,3호선,1,7,855670,0,0,37.496663,127.070594
대치,3호선,1,9,497280,0,0,37.494612,127.063642
도곡,3호선,2,8,728676,0,0,37.490922,127.055452
매봉,3호선,1,6,693378,0,0,37.486947,127.046769
양재(서초구청),3호선,2,2,254648,1,0,37.484477,127.033902
남부터미널(예술의전당),3호선,1,1,0,1,0,37.485013,127.016189
교대(법원.검찰청),3호선,2,1,671580,0,0,37.493025,127.013786
고속터미널,3호선,3,1,671580,0,0,37.504891,127.004916
잠원,3호선,1,2,12791,0,1,37.512759,127.01122
신사,3호선,2,3,42675,0,0,37.516334,127.020114
압구정,3호선,1,2,141466,0,1,37.527072,127.028461
옥수,3호선,2,1,0,1,1,37.541684,127.017269
금호,3호선,1,3,110050,1,0,37.548034,127.015872
약수,3호선,2,2,96582,1,0,37.554867,127.010541
동대입구,3호선,1,1,0,1,0,37.559052,127.005602
충무로,3호선,2,1,0,1,0,37.56143,126.994072
을지로3가,3호선,2,4,237364,1,0,37.566672,126.992548
종로3가,3호선,3,6,931390,0,0,37.571605,126.991791
안국,3호선,1,7,1341210,0,0,37.576477,126.985443
경복궁(정부서울청사),3호선,1,7,724895,1,0,37.575762,126.97353
독립문,3호선,1,4,281122,2,0,37.574571,126.957748
무악재,3호선,1,3,113022,2,0,37.582299,126.950291
홍제,3호선,1,4,1010260,2,0,37.589066,126.943736
녹번,3호선,1,3,1023629,1,0,37.600927,126.935756
