역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도
불암산,4호선,1,2,0,2,0,17698,37.670272,127.079066
경찰병원,3호선,1,7,325874,0,0,14012,37.495918,127.12454
일원,3호선,1,1,12878,0,0,20558,37.483681,127.08439
대청,3호선,1,7,855002,0,0,19981,37.493514,127.079532
학여울,3호선,1,7,855670,0,0,4952,37.496663,127.070594
대치,3호선,1,9,497280,0,0,24111,37.494612,127.063642
매봉,3호선,1,6,693378,0,0,23461,37.486947,127.046769
남부터미널(예술의전당),3호선,1,1,0,1,0,59783,37.485013,127.016189
잠원,3호선,1,2,12791,0,1,11351,37.512759,127.01122
압구정,3호선,1,2,141466,0,1,61025,37.527072,127.028461
금호,3호선,1,3,110050,1,0,15133,37.548034,127.015872
동대입구,3호선,1,1,0,1,0,23177,37.559052,127.005602
안국,3호선,1,7,1341210,0,0,54901,37.576477,126.985443
경복궁(정부서울청사),3호선,1,7,724895,1,0,53613,37.575762,126.97353
독립문,3호선,1,4,281122,2,0,15968,37.574571,126.957748
무악재,3호선,1,3,113022,2,0,8100,37.582299,126.950291
홍제,3호선,1,4,1010260,2,0,34259,37.589066,126.943736
녹번,3호선,1,3,1023629,1,0,27881,37.600927,126.935756
구파발,3호선,1,0,0,0,0,41947,37.636763,126.918821
용두(동대문구청),2호선,1,1,17182,0,0,4995,37.574028,127.038091
신정네거리,2호선,1,3,632025,0,0,19857,37.520074,126.852912
양천구청,2호선,1,5,831187,0,0,13274,37.512398,126.865819
도림천,2호선,1,0,0,0,0,2658,37.514287,126.882768
신답,2호선,1,3,38377,0,0,3331,37.57004,127.046481
용답,2호선,1,3,593521,0,0,5865,37.561904,127.050899
아현,2호선,1,1,29682,0,0,20596,37.557345,126.956141
이대,2호선,1,1,5186,0,0,34447,37.556733,126.946013
문래,2호선,1,2,36436,0,0,44623,37.517933,126.89476
구로디지털단지,2호선,1,0,0,0,0,107339,37.485266,126.901401
신대방,2호선,1,2,497213,0,0,47716,37.487462,126.913149
봉천,2호선,1,2,129678,1,0,46020,37.482362,126.941892
서울대입구(관악구청),2호선,1,2,384026,1,0,88598,37.481247,126.952739
낙성대,2호선,1,3,421273,1,0,53058,37.47693,126.963693
방배,2호선,1,1,671580,0,0,32823,37.481426,126.997596
서초,2호선,1,1,671580,0,0,41346,37.491897,127.007917
역삼,2호선,1,1,33250,0,0,96543,37.500622,127.036456
삼성(무역센터),2호선,1,2,947914,0,0,104657,37.508844,127.06316
잠실새내,2호선,1,3,85909,0,1,46129,37.511687,127.086162
잠실나루,2호선,1,1,12793,0,1,27539,37.520733,127.10379
강변(동서울터미널),2호선,1,1,10427,0,0,52643,37.535095,127.094681
구의(광진구청),2호선,1,1,10427,0,0,50265,37.537077,127.085916
성수,2호선,1,2,537918,0,0,102254,37.544581,127.055961
뚝섬,2호선,1,3,1018912,0,0,49494,37.547184,127.047367
한양대,2호선,1,2,1013714,0,0,23125,37.555273,127.043655
상왕십리,2호선,1,2,27973,0,0,27497,37.564354,127.029354
을지로입구,2호선,1,3,92841,0,0,97602,37.566014,126.982618
제기동,1호선,1,1,17182,0,0,33000,37.578103,127.034893
종로5가,1호선,1,5,661297,0,0,45902,37.570926,127.001849
종각,1호선,1,6,543037,0,0,74192,37.570161,126.982923
건대입구,7호선,2,1,6999,0,0,103056,37.540786,127.071011
교대(법원.검찰청),2호선,2,2,678585,0,0,87316,37.493961,127.014667
노원,7호선,2,4,72381,0,0,82993,37.654836,127.060462
당산,2호선,2,1,110407,0,2,74145,37.534946,126.902767
동대문,1호선,2,4,273726,0,0,61485,37.571687,127.01093
마곡나루,9호선,2,2,525466,0,0,50941,37.566778,126.82731
상봉(시외버스터미널),중앙선,2,1,1018689,0,0,45012,37.596678,127.08504
시청,2호선,2,5,196864,0,0,100748,37.563588,126.975411
신내,6호선,2,1,1018689,0,0,5255,37.613174,127.102231
신당,2호선,2,3,36377,0,0,46364,37.56564,127.019614
신촌,2호선,2,2,92618,0,0,77589,37.555131,126.936926
영등포구청,5호선,2,2,36436,0,0,52689,37.5242,126.89503
이촌(국립중앙박물관),4호선,2,2,134252,0,1,28886,37.522295,126.974733
잠실(송파구청),8호선,2,4,328076,0,0,199254,37.514692,127.104338
고속터미널,9호선,3,1,671580,0,1,168332,37.50598,127.004403
종합운동장,9호선(연장),2,2,685924,0,1,38856,37.511426,127.076275
강남,2호선,2,2,40255,0,0,191080,37.49799,127.027912
홍대입구,2호선,3,1,87432,0,0,188278,37.55679,126.923708
서울역,1호선,6,3,46706,1,0,222197,37.556228,126.972135
신림,2호선,2,2,129678,1,0,111309,37.484201,126.929715
선릉,2호선,2,1,240593,0,0,127604,37.504286,127.048203
신도림,2호선,2,1,25188,0,0,103702,37.508961,126.891084
사당,2호선,2,2,0,2,0,134742,37.476538,126.981544
가산디지털단지,7호선,2,1,195350,0,0,110855,37.480338,126.882656
양재(서초구청),3호선,2,2,254648,1,0,89684,37.484477,127.033902
연신내,3호선,3,1,130345,0,0,69556,37.619229,126.921038
합정,2호선,2,0,0,0,1,93393,37.549457,126.913808
신논현,9호선,2,2,40255,0,0,82288,37.504598,127.02506
충무로,4호선,2,1,0,1,0,60374,37.561207,126.99408
여의도,9호선,2,2,246039,0,0,111413,37.52176,126.92403
신사,3호선,2,3,42675,0,0,68333,37.516334,127.020114
노량진,9호선,2,2,463574,0,1,70011,37.513534,126.941005
을지로3가,2호선,2,4,237364,1,0,71896,37.566306,126.991696
대림(구로구청),2호선,2,2,24587,0,0,65996,37.493243,126.894932
청량리(서울시립대입구),1호선,2,1,15180,0,0,81205,37.579956,127.044585
성신여대입구(돈암),4호선,2,2,435685,0,0,51095,37.592612,127.016441
천호(풍납토성),5호선,2,2,61899,0,1,75396,37.53864,127.123308
동대문역사문화공원,4호선,3,3,219707,1,0,75571,37.565133,127.007885
수서,3호선,3,2,630145,0,0,70732,37.487378,127.101907
논현,7호선,2,2,36576,0,0,44987,37.511093,127.021415
공덕,6호선,4,1,171277,0,0,77817,37.543555,126.951678
불광,3호선,2,3,160250,1,0,42748,37.610553,126.92982
왕십리(성동구청),경원선,3,0,0,0,0,72382,37.561827,127.038352
강남구청,7호선,2,0,0,0,0,50659,37.517179,127.041255
종로3가,5호선,3,6,931390,0,0,103920,37.57254,126.990305
디지털미디어시티,6호선,3,2,140022,1,0,58555,37.576108,126.901391
을지로4가,2호선,2,3,235692,0,0,40366,37.566595,126.997817
신설동,1호선,3,2,54019,0,0,39350,37.576048,127.024634
군자(능동),7호선,2,3,1118924,0,0,50603,37.556897,127.079338
약수,3호선,2,2,96582,1,0,31532,37.554867,127.010541
석계,6호선,2,2,552963,0,0,39285,37.614872,127.065595
동묘앞,1호선,2,3,255798,0,0,39037,37.573197,127.01648
대방,경부선,2,2,432110,0,0,26238,37.513342,126.926382
김포공항,5호선,5,0,0,0,0,63073,37.562384,126.801292
충정로(경기대입구),2호선,2,2,46706,0,0,28919,37.559704,126.964378
선정릉,9호선(연장),2,1,240593,0,0,33258,37.510297,127.043999
도봉산,7호선,2,1,51470,0,0,31761,37.689241,127.046509
석촌,8호선,2,4,358864,0,0,36630,37.505557,127.106832
올림픽공원(한국체대),9호선(연장),2,2,1593122,0,0,28376,37.516269,127.130288
온수(성공회대입구),7호선,2,1,200956,0,0,30035,37.492092,126.823023
옥수,3호선,2,1,0,1,1,17823,37.541684,127.017269
