역사명,호선,공원수,공원면적합산(㎡),도시자연공원수,공원목록,한강공원수,한강공원면적합산(㎡),한강공원목록
압구정,3호선,2,36618,0,"도산, 신사",1,64001,잠실지구
옥수,3호선,1,0,1,남산,1,63356,뚝섬지구
금호,3호선,3,110130,1,"금호, 남산, 응봉공원",0,0,없음
약수,3호선,2,96582,1,"남산, 응봉공원",0,0,없음
동대입구,3호선,1,0,1,남산,0,0,없음
충무로,3호선,1,0,1,남산,0,0,없음
을지로3가,3호선,4,96001,1,"남산, 종묘, 종묘광장, 탑골",0,0,없음
종로3가,3호선,6,325506,0,"원서, 종묘, 종묘광장, 창경, 창덕, 탑골",0,0,없음
안국,3호선,7,432284,0,"경복, 광화문열린마당, 원서, 종묘, 창경, 창덕, 탑골",0,0,없음
경복궁(정부서울청사),3호선,7,534890,1,"경복, 경희궁<시공원>, 광화문열린마당, 사직<시공원>, 세종로광장, 인왕산<시공원>, 정동",0,0,없음
독립문,3호선,4,238013,2,"독립, 사직<시공원>, 안산<시공원>, 인왕산<시공원>",0,0,없음
무악재,3호선,3,1014,2,"독립, 안산<시공원>, 인왕산<시공원>",0,0,없음
홍제,3호선,4,199471,2,"(북한산, 백련<시공원>, 실락, 안산<시공원>",0,0,없음
녹번,3호선,3,159430,1,"(북한산, 녹번서, 백련<시공원>",0,0,없음
불광,3호선,3,63701,1,"(북한산, 녹번서, 불광<시공원>",0,0,없음
연신내,3호선,1,57595,0,불광<시공원>,0,0,없음
구파발,3호선,0,0,0,없음,0,0,없음
용두(동대문구청),2호선,1,17152,0,용두근린공원,0,0,없음
신정네거리,2호선,3,163181,0,"계남<시공원>, 신트리, 장수공원",0,0,없음
양천구청,2호선,5,88819,0,"갈산근린공원, 계남<시공원>, 신트리, 양천, 해누리체육공원",0,0,없음
도림천,2호선,0,0,0,없음,0,0,없음
신설동,2호선,2,48019,0,"동묘, 숭인",0,0,없음
신답,2호선,3,36343,0,"간데메, 용답휴식, 용두근린공원",0,0,없음
용답,2호선,3,69132,0,"용답꽃공원, 전농천, 중랑천",0,0,없음
충정로(경기대입구),2호선,2,46638,0,"서소문역사공원, 손기정체육공원",0,0,없음
아현,2호선,1,11222,0,손기정체육공원,0,0,없음
이대,2호선,1,5186,0,창천,0,0,없음
신촌,2호선,2,43033,0,"와우근린공원, 창천",0,0,없음
홍대입구,2호선,1,56237,0,와우근린공원,0,0,없음
합정,2호선,0,0,0,없음,1,20452,망원지구
당산,2호선,1,10293,0,선유도공원,2,143972,"양화지구, 여의도지구"
영등포구청,2호선,1,11248,0,당산,0,0,없음
문래,2호선,2,25593,0,"당산, 문래",0,0,없음
