역사명,월평균승하차,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,한강공원면적합산(㎡)
증미,14624.42,1,2,134737,0,0,0
증산(명지대앞),18155.25,1,1,0,1,0,0
창동,53922.5,1,2,70909,0,0,0
창신,6384.83,1,4,183179,0,0,0
천왕,21759.25,1,0,0,0,0,0
천호(풍납토성),75415.5,2,2,55336,0,1,40166
청계산입구,9523.25,1,2,0,2,0,0
청구,13928.08,2,2,1030,1,0,0
청담,35576.08,1,3,146655,0,0,0
청량리(서울시립대입구),81213,2,1,3692,0,0,0
총신대입구(이수),39403.83,1,1,27786,0,0,0
충무로,60387.58,2,1,0,1,0,0
충정로(경기대입구),28933.92,2,3,46638,1,0,0
태릉입구,28326.42,2,3,38540,0,0,0
하계,33832.17,1,3,56069,0,0,0
학동,42442,1,1,29884,0,0,0
학여울,4953.67,1,7,142346,0,0,0
한강진,22402.42,1,2,28314,1,0,0
한남,6805.33,1,1,25286,0,2,28756
한성대입구(삼선교),28165,1,5,91532,1,0,0
한성백제,6057.17,1,2,744016,0,0,0
한양대,23113.58,1,2,249291,0,0,0
한티,30948.83,1,3,87122,0,0,0
합정,93416.42,2,0,0,0,1,23541
행당,14546.25,1,2,27973,0,0,0
혜화,73202.08,1,6,400092,1,0,0
홍대입구,188278.5,3,1,70717,0,0,0
홍제,34266.5,1,4,199471,2,0,0
화계,7032.92,1,1,0,1,0,0
화곡,52691.58,1,1,21076,0,0,0
화랑대(서울여대입구),20227.83,1,3,150434,0,0,0
회기,51283.92,1,2,40686,0,0,0
회현(남대문시장),55303.33,1,4,25628,1,0,0
효창공원앞,20728.75,2,1,153775,0,0,0
흑석(중앙대입구),18570.5,1,2,88935,0,0,0
