역사명,호선,공원수,공원면적합산(㎡),도시자연공원수,공원목록,한강공원수,한강공원면적합산(㎡),한강공원목록
광화문(세종문화회관),5호선,7,632157,0,"경복, 경희궁<시공원>, 광화문열린마당, 덕수, 서울광장, 세종로광장, 정동",0,0,없음
서대문,5호선,5,186639,1,"경희궁<시공원>, 덕수, 서소문역사공원, 안산<시공원>, 정동",0,0,없음
충정로(경기대입구),5호선,3,46638,1,"서소문역사공원, 손기정체육공원, 안산<시공원>",0,0,없음
애오개,5호선,1,29614,0,손기정체육공원,0,0,없음
공덕,5호선,1,160489,0,효창<시공원>,0,0,없음
마포,5호선,0,0,0,없음,0,0,없음
여의나루,5호선,1,226220,0,여의도,1,655589,여의도지구
여의도,5호선,2,242611,0,"여의도, 자매",0,0,없음
신길,5호선,3,293923,0,"여의도, 영등포, 중마루",0,0,없음
영등포시장,5호선,1,6014,0,중마루,0,0,없음
영등포구청,5호선,2,36436,0,"당산, 문래",0,0,없음
양평,5호선,1,11248,0,당산,0,0,없음
오목교(목동운동장앞),5호선,1,21411,0,오목,0,0,없음
목동,5호선,1,21411,0,오목,0,0,없음
신정(은행정),5호선,1,11997,0,장수공원,0,0,없음
까치산,5호선,2,926021,0,"까치산, 봉제산<시공원>",0,0,없음
화곡,5호선,1,24953,0,까치산,0,0,없음
우장산,5호선,1,29218,0,우장산근린공원,0,0,없음
발산,5호선,3,636172,0,"등촌, 서울식물원, 원당",0,0,없음
마곡,5호선,1,616108,0,서울식물원,0,0,없음
송정,5호선,0,0,0,없음,0,0,없음
김포공항,5호선,0,0,0,없음,0,0,없음
개화산,5호선,1,72176,0,방화,0,0,없음
방화,5호선,3,329813,0,"꿩고개<시공원>, 방화, 옹기골",0,0,없음
김포공항,서해선,0,0,0,없음,0,0,없음
도봉산,경원선,1,61674,0,서울창포원,0,0,없음
도봉,경원선,0,0,0,없음,0,0,없음
방학,경원선,2,44899,0,"방학사거리친수공간, 상계",0,0,없음
선정릉,분당선,1,240593,0,선·정릉,0,0,없음
강남구청,분당선,0,0,0,없음,0,0,없음
압구정로데오,분당선,1,29816,0,도산,1,195112,잠실지구
서울숲,분당선,2,924254,0,"서울숲, 성수",0,0,없음
온수(성공회대입구),경인선,1,96225,0,푸른수목원,0,0,없음
구일,경인선,0,0,0,없음,0,0,없음
오류동,경인선,0,0,0,없음,0,0,없음
개봉,경인선,0,0,0,없음,0,0,없음
독산,경부선,2,213279,0,"금천한내(안양천, 독산",0,0,없음
금천구청,경부선,1,195350,0,금천한내(안양천,0,0,없음
가산디지털단지,경부선,1,195350,0,금천한내(안양천,0,0,없음
구로,경부선,0,0,0,없음,0,0,없음
신내,경춘선,0,0,0,없음,0,0,없음
수색,경의중앙선,2,165143,1,"봉산<시공원>, 상암<시공원>",0,0,없음
디지털미디어시티,경의중앙선,2,76394,1,"문화비축기지, 봉산<시공원>",0,0,없음
가좌,경의중앙선,2,164739,0,"궁동, 궁동<시공원>",0,0,없음
홍대입구,경의중앙선,1,91578,0,와우근린공원,0,0,없음
서강대,경의중앙선,2,96764,0,"와우근린공원, 창천",0,0,없음
공덕,경의중앙선,1,160489,0,효창<시공원>,0,0,없음
효창공원앞,경의중앙선,1,160489,0,효창<시공원>,0,0,없음
신촌,경의중앙선,1,5186,0,창천,0,0,없음
서울역,경의중앙선,3,46638,1,"남산, 서소문역사공원, 손기정체육공원",0,0,없음
양원,중앙선,3,219981,1,"나들이공원, 용마<시공원>, 중랑캠핑숲",0,0,없음
망우,중앙선,1,1035077,0,봉화산<시공원>,0,0,없음
상봉(시외버스터미널),중앙선,1,1035077,0,봉화산<시공원>,0,0,없음
중랑,중앙선,1,145785,0,중랑천변,0,0,없음
신길,경부선,3,293923,0,"여의도, 영등포, 중마루",0,0,없음
수서,분당선,2,630145,0,"숯내, 탄천",0,0,없음
대모산입구,분당선,9,486038,0,"개포동, 개포서, 늘푸른, 달터<시공원>, 대진, 대치, 배밭, 양재천, 학여울",0,0,없음
개포동,분당선,10,587333,0,"개포, 개포동, 개포서, 늘벚, 달터<시공원>, 대치, 배밭, 양재천, 학여울, 한티",0,0,없음
구룡,분당선,10,583628,0,"개포, 개포동, 개포서, 늘벚, 달터<시공원>, 배밭, 양재천, 청룡, 포이, 학여울",0,0,없음
도곡,분당선,8,780036,0,"개포서, 늘벚, 달터<시공원>, 도곡근린공원, 배밭, 양재천, 청룡, 한티",0,0,없음
한티,분당선,3,342229,0,"늘벚, 도곡근린공원, 한티",0,0,없음
선릉,분당선,1,240593,0,선·정릉,0,0,없음
녹천,경원선,5,1194885,0,"느티울, 마들, 월천, 초안산<시공원>, 초안산생태공원",0,0,없음
월계,경원선,1,1022430,0,초안산<시공원>,0,0,없음
광운대,경원선,1,20243,0,한내,0,0,없음
석계,경원선,2,552963,0,"중랑천, 한내",0,0,없음
신이문,경원선,3,1429187,0,"중랑천, 중랑천변, 청량<시공원>",0,0,없음
외대앞,경원선,3,1182523,0,"배봉산<시공원>, 중랑천변, 청량<시공원>",0,0,없음
회기,중앙선,2,442694,0,"(청량, 배봉산<시공원>",0,0,없음
청량리(서울시립대입구),경원선,1,15104,0,간데메,0,0,없음
왕십리(성동구청),경원선,0,0,0,없음,0,0,없음
응봉,경원선,2,1451858,0,"서울숲, 중랑천",0,0,없음
옥수,경원선,1,0,1,남산,1,73276,뚝섬지구
한남,경원선,1,28314,0,한남,2,698923,"잠실지구, 잠원지구"
서빙고,경원선,2,177830,0,"동빙고, 용산가족공원",1,468729,이촌지구
이촌(국립중앙박물관),경원선,1,119477,0,용산가족공원,1,468729,이촌지구
신도림,경부선,1,25188,0,문래,0,0,없음
영등포,경부선,2,67703,0,"영등포, 중마루",0,0,없음
대방,경부선,2,344859,0,"노량진<시공원>, 자매",0,0,없음
노량진,경부선,2,365460,0,"노량진<시공원>, 사육신공원",1,655589,여의도지구
용산,경부선,0,0,0,없음,0,0,없음
남영,경부선,1,160489,0,효창<시공원>,0,0,없음
서울역,경부선,3,46638,1,"남산, 서소문역사공원, 손기정체육공원",0,0,없음
남태령,4호선,2,0,2,"관악산<시공원>, 우면산<시공원>",0,0,없음
사당,4호선,2,0,2,"관악산<시공원>, 우면산<시공원>",0,0,없음
총신대입구(이수),4호선,1,28785,0,3.1,0,0,없음
동작(현충원),4호선,1,41956,0,동작주차,1,503811,잠원지구
이촌(국립중앙박물관),4호선,2,177830,0,"동빙고, 용산가족공원",1,468729,이촌지구
신용산,4호선,0,0,0,없음,0,0,없음
삼각지,4호선,0,0,0,없음,0,0,없음
숙대입구(갈월),4호선,1,160489,0,효창<시공원>,0,0,없음
서울역,4호선,3,46638,1,"남산, 서소문역사공원, 손기정체육공원",0,0,없음
회현(남대문시장),4호선,4,90265,1,"남산, 덕수, 서소문역사공원, 서울광장",0,0,없음
명동,4호선,1,0,1,남산,0,0,없음
충무로,4호선,1,0,1,남산,0,0,없음
동대문역사문화공원,4호선,3,172266,1,"낙산, 남산, 훈련원",0,0,없음
동대문,4호선,3,180669,0,"낙산, 동묘, 훈련원",0,0,없음
혜화,4호선,6,879998,1,"(낙산, (북한산, 낙산, 마로니에, 창경, 창덕",0,0,없음
한성대입구(삼선교),4호선,5,478395,1,"(낙산, (북한산, 낙산, 성북<시공원>, 와룡<시공원>",0,0,없음
성신여대입구(돈암),4호선,2,383454,0,"개운산<시공원>, 성북<시공원>",0,0,없음
길음,4호선,1,268022,0,개운산<시공원>,0,0,없음
미아사거리,4호선,2,1604668,0,"(오동, 오동<시공원>",0,0,없음
미아(서울사이버대학),4호선,1,1346194,0,오동<시공원>,0,0,없음
수유(강북구청),4호선,2,1394511,0,"오동<시공원>, 우이천",0,0,없음
쌍문,4호선,2,427493,0,"쌍문<시공원>, 우이천",0,0,없음
창동,4호선,2,95327,0,"월천, 초안산생태공원",0,0,없음
노원,4호선,2,52606,0,"온수, 원터",0,0,없음
상계,4호선,4,28585,2,"불암산<시공원>, 삿갓봉, 수락산<시공원>, 온수",0,0,없음
불암산,4호선,2,0,2,"불암산<시공원>, 수락산<시공원>",0,0,없음
오금,3호선,6,358752,0,"가락, 백토, 성내천, 송이, 오금<시공원>, 웃말",0,0,없음
경찰병원,3호선,7,326073,0,"가락, 개농, 건너말, 두댐이, 송이, 오금<시공원>, 웃말",0,0,없음
가락시장,3호선,4,59459,0,"가락, 건너말, 숯내, 훼밀리",0,0,없음
수서,3호선,2,630145,0,"숯내, 탄천",0,0,없음
일원,3호선,1,12878,0,한솔,0,0,없음
대청,3호선,7,855002,0,"늘푸른, 대진, 대청, 대치, 양재천, 탄천, 학여울",0,0,없음
학여울,3호선,7,855671,0,"개포동, 대진, 대치, 양재천, 탄천, 학여울, 한티",0,0,없음
대치,3호선,9,497280,0,"개포동, 개포서, 늘벚, 달터<시공원>, 대치, 배밭, 양재천, 학여울, 한티",0,0,없음
도곡,3호선,8,780036,0,"개포서, 늘벚, 달터<시공원>, 도곡근린공원, 배밭, 양재천, 청룡, 한티",0,0,없음
매봉,3호선,6,744739,0,"달터<시공원>, 도곡근린공원, 독골, 양재천, 청룡, 포이",0,0,없음
양재(서초구청),3호선,2,306009,1,"도곡근린공원, 우면산<시공원>",0,0,없음
남부터미널(예술의전당),3호선,1,0,1,우면산<시공원>,0,0,없음
교대(법원.검찰청),3호선,1,671580,0,서리풀<시공원>,0,0,없음
고속터미널,3호선,1,671580,0,서리풀<시공원>,0,0,없음
잠원,3호선,2,12791,0,"명주, 신동",1,503811,잠원지구
신사,3호선,3,42675,0,"명주, 신동, 학동",0,0,없음
압구정,3호선,2,36618,0,"도산, 신사",1,195112,잠실지구
옥수,3호선,1,0,1,남산,1,73276,뚝섬지구
금호,3호선,3,110130,1,"금호, 남산, 응봉공원",0,0,없음
약수,3호선,2,96582,1,"남산, 응봉공원",0,0,없음
동대입구,3호선,1,0,1,남산,0,0,없음
충무로,3호선,1,0,1,남산,0,0,없음
을지로3가,3호선,4,232898,1,"남산, 종묘, 종묘광장, 탑골",0,0,없음
종로3가,3호선,6,926924,0,"원서, 종묘, 종묘광장, 창경, 창덕, 탑골",0,0,없음
안국,3호선,7,1336744,0,"경복, 광화문열린마당, 원서, 종묘, 창경, 창덕, 탑골",0,0,없음
경복궁(정부서울청사),3호선,7,721735,1,"경복, 경희궁<시공원>, 광화문열린마당, 사직<시공원>, 세종로광장, 인왕산<시공원>, 정동",0,0,없음
독립문,3호선,4,275425,2,"독립, 사직<시공원>, 안산<시공원>, 인왕산<시공원>",0,0,없음
무악재,3호선,3,112606,2,"독립, 안산<시공원>, 인왕산<시공원>",0,0,없음
홍제,3호선,4,991325,2,"(북한산, 백련<시공원>, 실락, 안산<시공원>",0,0,없음
녹번,3호선,3,1004694,1,"(북한산, 녹번서, 백련<시공원>",0,0,없음
불광,3호선,3,162038,1,"(북한산, 녹번서, 불광<시공원>",0,0,없음
연신내,3호선,1,132133,0,불광<시공원>,0,0,없음
구파발,3호선,0,0,0,없음,0,0,없음
용두(동대문구청),2호선,1,17152,0,용두근린공원,0,0,없음
신정네거리,2호선,3,502337,0,"계남<시공원>, 신트리, 장수공원",0,0,없음
양천구청,2호선,5,570735,0,"갈산근린공원, 계남<시공원>, 신트리, 양천, 해누리체육공원",0,0,없음
도림천,2호선,0,0,0,없음,0,0,없음
신설동,2호선,2,51061,0,"동묘, 숭인",0,0,없음
신답,2호선,3,38270,0,"간데메, 용답휴식, 용두근린공원",0,0,없음
용답,2호선,3,593521,0,"용답꽃공원, 전농천, 중랑천",0,0,없음
충정로(경기대입구),2호선,2,46638,0,"서소문역사공원, 손기정체육공원",0,0,없음
아현,2호선,1,29614,0,손기정체육공원,0,0,없음
이대,2호선,1,5186,0,창천,0,0,없음
신촌,2호선,2,96764,0,"와우근린공원, 창천",0,0,없음
