역명,passenger_sum_01,passenger_sum_02,passenger_sum_03,passenger_sum_04,passenger_sum_05,passenger_sum_06,passenger_sum_07,passenger_sum_08,passenger_sum_09,passenger_sum_10,passenger_sum_11,passenger_sum_12,annual_total,daily_avg
한양대,428389,441364,859847,888420,918034,676530,543461,466488,903960,721680,843600,748774,8440547,23125 
한티,874479,894908,955451,931050,962085,893220,1003842,954645,989190,905727,961230,965433,11291260,30935 
합정,2561375,2628612,2938335,2929590,3027243,2747790,2937250,2804229,2876010,2712810,2875260,3049811,34088315,93393 
행당,399931,411712,455266,462930,478361,431640,452507,418221,459090,419244,448440,469681,5307023,14540 
혜화,1970515,2027648,2344189,2275890,2351753,2094420,2170713,2122322,2218500,2197714,2427810,2511899,26713373,73187 
홍대입구,5245262,5256580,5978846,5599080,5785716,5579490,5917869,5835378,5584620,5785344,5887410,6265782,68721377,188278 
홍제,913415,930104,1106297,1112670,1149759,1012470,1021915,971571,1076880,1020830,1083120,1105615,12504646,34259 
화계,187364,191688,223448,224310,231787,213690,216070,207111,225180,207328,217080,221309,2566365,7031 
화곡,1443298,1486408,1656082,1668090,1723693,1563330,1636273,1517140,1647660,1538375,1628670,1716067,19225086,52671 
화랑대(서울여대입구),513515,530796,666066,679080,701716,595890,585125,549258,667710,594859,653790,643529,7381334,20223 
